"Avalanch","Pinecones on Mars","The winner is Pinecones on Mars"
"2","997","1"
"rock","12964254","scissors","37120321","Avalanch won"
"rock","15823807","paper","16503713","Pinecones on Mars won"
"rock","11184281","rock","11775012","Tie"
"rock","11642021","paper","12255743","Pinecones on Mars won"
"rock","7319352","paper","7832044","Pinecones on Mars won"
"rock","15567988","paper","16107891","Pinecones on Mars won"
"rock","10887286","paper","11466982","Pinecones on Mars won"
"rock","14812026","paper","15354900","Pinecones on Mars won"
"rock","9861165","paper","10520236","Pinecones on Mars won"
"rock","9120611","paper","8840990","Pinecones on Mars won"
"rock","5530478","paper","5066829","Pinecones on Mars won"
"rock","6919496","paper","6637858","Pinecones on Mars won"
"rock","11537656","paper","11053347","Pinecones on Mars won"
"rock","7876305","paper","7595868","Pinecones on Mars won"
"rock","8550607","paper","9139415","Pinecones on Mars won"
"rock","8219011","paper","7935326","Pinecones on Mars won"
"rock","8363898","paper","11727549","Pinecones on Mars won"
"rock","8491164","paper","10733046","Pinecones on Mars won"
"rock","4718964","paper","5176770","Pinecones on Mars won"
"rock","8531837","paper","8914614","Pinecones on Mars won"
"rock","6107675","paper","6666503","Pinecones on Mars won"
"rock","4438380","paper","5030647","Pinecones on Mars won"
"rock","4412509","paper","6428771","Pinecones on Mars won"
"rock","7063457","paper","11336449","Pinecones on Mars won"
"rock","4525368","paper","5030389","Pinecones on Mars won"
"rock","4530220","paper","5060151","Pinecones on Mars won"
"rock","4491315","paper","5010154","Pinecones on Mars won"
"rock","4514864","paper","5053015","Pinecones on Mars won"
"rock","4488074","paper","5020997","Pinecones on Mars won"
"rock","4462766","paper","4982067","Pinecones on Mars won"
"rock","3215276","paper","6822056","Pinecones on Mars won"
"rock","6652398","paper","7180931","Pinecones on Mars won"
"rock","4510778","paper","5030912","Pinecones on Mars won"
"rock","4280883","paper","4821101","Pinecones on Mars won"
"rock","4479352","paper","5012945","Pinecones on Mars won"
"rock","4202278","paper","4721439","Pinecones on Mars won"
"rock","3375742","paper","3905086","Pinecones on Mars won"
"rock","6030295","paper","6746437","Pinecones on Mars won"
"rock","4095419","paper","4828544","Pinecones on Mars won"
"rock","4262222","paper","4974211","Pinecones on Mars won"
"rock","4259631","paper","4803718","Pinecones on Mars won"
"rock","4383448","paper","5107991","Pinecones on Mars won"
"rock","4157180","paper","4715505","Pinecones on Mars won"
"rock","4275917","paper","5016018","Pinecones on Mars won"
"rock","4229251","paper","4942803","Pinecones on Mars won"
"rock","4523556","paper","4946880","Pinecones on Mars won"
"rock","10198370","paper","9208290","Pinecones on Mars won"
"rock","7031811","paper","7596659","Pinecones on Mars won"
"rock","11970417","paper","17849389","Pinecones on Mars won"
"rock","3031051","paper","6361065","Pinecones on Mars won"
"rock","5657741","paper","6197315","Pinecones on Mars won"
"rock","4528752","paper","5093501","Pinecones on Mars won"
"rock","4449990","paper","5013937","Pinecones on Mars won"
"rock","4465150","paper","5032242","Pinecones on Mars won"
"rock","5450029","paper","5895585","Pinecones on Mars won"
"rock","4357041","paper","4415146","Pinecones on Mars won"
"rock","5393967","paper","5107756","Pinecones on Mars won"
"rock","5078891","paper","5230092","Pinecones on Mars won"
"rock","4308612","paper","4894632","Pinecones on Mars won"
"rock","8324618","paper","8918239","Pinecones on Mars won"
"rock","4383046","paper","4961494","Pinecones on Mars won"
"rock","4431114","paper","5012982","Pinecones on Mars won"
"rock","4436301","paper","5149406","Pinecones on Mars won"
"rock","4251882","paper","4829185","Pinecones on Mars won"
"rock","4309298","paper","4903426","Pinecones on Mars won"
"rock","4306324","paper","4930731","Pinecones on Mars won"
"rock","5100739","paper","5152160","Pinecones on Mars won"
"rock","4461096","paper","5065862","Pinecones on Mars won"
"rock","4400862","paper","5001544","Pinecones on Mars won"
"rock","4362054","paper","4966894","Pinecones on Mars won"
"rock","4817929","paper","4546677","Pinecones on Mars won"
"rock","4521531","paper","5142122","Pinecones on Mars won"
"rock","8152432","paper","8793774","Pinecones on Mars won"
"rock","4395197","paper","12398363","Pinecones on Mars won"
"rock","5169724","paper","4897804","Pinecones on Mars won"
"rock","4260107","paper","4867762","Pinecones on Mars won"
"rock","5191051","paper","5130943","Pinecones on Mars won"
"rock","4364516","paper","5035150","Pinecones on Mars won"
"rock","5703500","paper","5412872","Pinecones on Mars won"
"rock","6968282","paper","7385219","Pinecones on Mars won"
"rock","4726248","paper","4444463","Pinecones on Mars won"
"rock","4124866","paper","4765716","Pinecones on Mars won"
"rock","4134861","paper","4776221","Pinecones on Mars won"
"rock","4140430","paper","4786690","Pinecones on Mars won"
"rock","4132847","paper","4769874","Pinecones on Mars won"
"rock","4223207","paper","4862143","Pinecones on Mars won"
"rock","8108609","paper","8771657","Pinecones on Mars won"
"rock","4103973","paper","4767592","Pinecones on Mars won"
