"Avalanch","AssClown","The winner is AssClown"
"2","997","1"
"rock","10508891","rock","33686279","Tie"
"rock","15646809","scissors","16177553","Avalanch won"
"rock","7155903","scissors","7605923","Avalanch won"
"rock","8746616","paper","9298617","AssClown won"
"rock","7606626","paper","8093482","AssClown won"
"rock","6655274","paper","6383669","AssClown won"
"rock","4017381","paper","3561684","AssClown won"
"rock","8792200","paper","9268665","AssClown won"
"rock","12441557","paper","12921550","AssClown won"
"rock","9994378","paper","10605847","AssClown won"
"rock","5591443","paper","6041787","AssClown won"
"rock","5269314","paper","5001806","AssClown won"
"rock","4218963","paper","3768767","AssClown won"
"rock","8635216","paper","8352837","AssClown won"
"rock","6337549","paper","6782689","AssClown won"
"rock","4487400","paper","4034959","AssClown won"
"rock","9225967","paper","8945290","AssClown won"
"rock","6095239","paper","6540300","AssClown won"
"rock","4432823","paper","4381452","AssClown won"
"rock","8573230","paper","9053073","AssClown won"
"rock","4271424","paper","4714389","AssClown won"
"rock","9905965","paper","10382014","AssClown won"
"rock","9621898","paper","9338193","AssClown won"
"rock","6350385","paper","6799026","AssClown won"
"rock","4555512","paper","4997581","AssClown won"
"rock","7110532","paper","7389725","AssClown won"
"rock","5838713","paper","6282061","AssClown won"
"rock","4580008","paper","5019474","AssClown won"
"rock","4591494","paper","5038731","AssClown won"
"rock","4549577","paper","4997591","AssClown won"
"rock","4552177","paper","4997652","AssClown won"
"rock","4559548","paper","5005506","AssClown won"
"rock","4568244","paper","5009724","AssClown won"
"rock","4592853","paper","5055028","AssClown won"
"rock","4536560","paper","4989812","AssClown won"
"rock","4568857","paper","5037781","AssClown won"
"rock","4233089","paper","4701623","AssClown won"
"rock","5449740","paper","5502979","AssClown won"
"rock","4548451","paper","5002082","AssClown won"
"rock","4553045","paper","4997563","AssClown won"
"rock","4290150","paper","4870794","AssClown won"
"rock","7634153","paper","7351471","AssClown won"
"rock","4397785","paper","4857198","AssClown won"
"rock","4656135","paper","5149756","AssClown won"
"rock","5149804","paper","5200212","AssClown won"
"rock","4557500","paper","8745783","AssClown won"
"rock","8678051","paper","4857585","AssClown won"
"rock","3805977","paper","4223042","AssClown won"
"rock","5690597","paper","6111941","AssClown won"
"rock","4622593","paper","5050980","AssClown won"
"rock","4602102","paper","5045089","AssClown won"
"rock","4613567","paper","5056222","AssClown won"
"rock","4567861","paper","5014927","AssClown won"
"rock","6867312","paper","7363596","AssClown won"
"rock","4545822","paper","4990780","AssClown won"
"rock","13690788","paper","13202569","AssClown won"
"rock","7101319","paper","7575856","AssClown won"
"rock","3510031","paper","4157164","AssClown won"
"rock","3168816","paper","8492595","AssClown won"
"rock","4829395","paper","5353802","AssClown won"
"rock","3414840","paper","6613370","AssClown won"
"rock","16693584","paper","17432860","AssClown won"
"rock","7545959","paper","8030424","AssClown won"
"rock","12100158","paper","12579189","AssClown won"
"rock","11914461","paper","12397405","AssClown won"
"rock","9500132","paper","9976262","AssClown won"
"rock","10955294","paper","11434071","AssClown won"
"rock","7418952","paper","7870540","AssClown won"
"rock","10033088","paper","9337155","AssClown won"
"rock","9920569","paper","9934697","AssClown won"
"rock","10340168","paper","10811672","AssClown won"
"rock","9145280","paper","9654801","AssClown won"
"rock","4395737","paper","4850465","AssClown won"
"rock","8533747","paper","9037189","AssClown won"
"rock","8334634","paper","8819832","AssClown won"
"rock","9461917","paper","9931354","AssClown won"
"rock","38975733","paper","39049557","AssClown won"
"rock","7843615","paper","8295247","AssClown won"
"rock","13217729","paper","14108627","AssClown won"
"rock","15771409","paper","16237710","AssClown won"
"rock","6187822","paper","5911076","AssClown won"
"rock","3899684","paper","4384111","AssClown won"
"rock","5909808","paper","5895181","AssClown won"
"rock","3759137","paper","4200551","AssClown won"
"rock","7452586","paper","6820475","AssClown won"
"rock","4979335","paper","4712410","AssClown won"
"rock","6929312","paper","6299197","AssClown won"
"rock","6213112","paper","6707212","AssClown won"
"rock","4205198","paper","4643578","AssClown won"
"rock","4373941","paper","5104562","AssClown won"
"rock","3810739","paper","4249596","AssClown won"
"rock","4375421","paper","4813827","AssClown won"
"rock","4370972","paper","4803981","AssClown won"
"rock","4368267","paper","4814006","AssClown won"
"rock","4333001","paper","6328469","AssClown won"
"rock","8299719","paper","8627418","AssClown won"
"rock","6649297","paper","7069231","AssClown won"
"rock","5155478","paper","5214312","AssClown won"
"rock","4411799","paper","4845714","AssClown won"
"rock","4477043","paper","4950300","AssClown won"
"rock","5124707","paper","5188769","AssClown won"
"rock","8318227","paper","8786777","AssClown won"
"rock","4480095","paper","4925427","AssClown won"
"rock","10575683","paper","10849402","AssClown won"
"rock","5671505","paper","6109948","AssClown won"
"rock","4595413","paper","5048090","AssClown won"
"rock","4559038","paper","5076133","AssClown won"
"rock","4505765","paper","4953380","AssClown won"
"rock","4124835","paper","4595228","AssClown won"
"rock","4945373","paper","5390551","AssClown won"
"rock","4495887","paper","4937323","AssClown won"
"rock","4600475","paper","5051217","AssClown won"
"rock","4496437","paper","4939733","AssClown won"
"rock","4582003","paper","5030544","AssClown won"
"rock","5215661","paper","5269151","AssClown won"
"rock","5193487","paper","5243472","AssClown won"
"rock","4869888","paper","4594710","AssClown won"
"rock","4605194","paper","5162911","AssClown won"
"rock","4467023","paper","4903797","AssClown won"
"rock","4483544","paper","4944200","AssClown won"
"rock","4912769","paper","4478734","AssClown won"
"rock","4649843","paper","5095652","AssClown won"
"rock","4584620","paper","5022771","AssClown won"
"rock","3683816","paper","4129577","AssClown won"
"rock","5433874","paper","5872337","AssClown won"
"rock","4591748","paper","5033135","AssClown won"
"rock","4267820","paper","4704627","AssClown won"
"rock","4463616","paper","4922009","AssClown won"
"rock","3595133","paper","4039483","AssClown won"
"rock","5507537","paper","5954022","AssClown won"
"rock","8572121","paper","9013994","AssClown won"
"rock","4842733","paper","4572476","AssClown won"
"rock","4339110","paper","4782338","AssClown won"
"rock","4965264","paper","4693733","AssClown won"
"rock","8764215","paper","8493500","AssClown won"
"rock","4622552","paper","5060440","AssClown won"
"rock","5480592","paper","4637577","AssClown won"
"rock","4192297","paper","4654063","AssClown won"
"rock","4258001","paper","4689916","AssClown won"
"rock","4606302","paper","5049311","AssClown won"
"rock","4434173","paper","4877360","AssClown won"
"rock","4925978","paper","4666479","AssClown won"
"rock","3432216","paper","3874483","AssClown won"
"rock","5768827","paper","6203669","AssClown won"
"rock","6725063","paper","6785440","AssClown won"
"rock","4435751","paper","7266271","AssClown won"
"rock","4810758","paper","5228818","AssClown won"
"rock","5130880","paper","5179793","AssClown won"
"rock","4133539","paper","4590070","AssClown won"
"rock","5658480","paper","5707970","AssClown won"
"rock","6760121","paper","7195702","AssClown won"
"rock","5166166","paper","5217943","AssClown won"
"rock","4586347","paper","5019038","AssClown won"
"rock","5072192","paper","5123026","AssClown won"
"rock","4242818","paper","4716041","AssClown won"
"rock","5493671","paper","5544489","AssClown won"
"rock","3609794","paper","4050124","AssClown won"
"rock","5465615","paper","5907789","AssClown won"
"rock","12711811","paper","13370955","AssClown won"
"rock","9276816","paper","9941910","AssClown won"
"rock","9084873","paper","9098084","AssClown won"
"rock","8304703","paper","8965259","AssClown won"
"rock","16992249","paper","17642528","AssClown won"
"rock","10826643","paper","11502309","AssClown won"
"rock","8213767","paper","8890416","AssClown won"
"rock","8136821","paper","8806891","AssClown won"
"rock","8331334","paper","9028567","AssClown won"
"rock","8083471","paper","8751811","AssClown won"
"rock","8199731","paper","8854116","AssClown won"
"rock","9093032","paper","9105863","AssClown won"
"rock","8238089","paper","8890237","AssClown won"
"rock","8378461","paper","9086461","AssClown won"
"rock","8056261","paper","8700168","AssClown won"
"rock","8213044","paper","8854814","AssClown won"
"rock","8316181","paper","8955004","AssClown won"
"rock","8223052","paper","8866869","AssClown won"
"rock","9027328","paper","10396343","AssClown won"
"rock","13669780","paper","13930675","AssClown won"
"rock","13274618","paper","13926337","AssClown won"
"rock","13715693","paper","14361584","AssClown won"
"rock","14838147","paper","14853107","AssClown won"
"rock","13840445","paper","14492751","AssClown won"
"rock","13763681","paper","13817527","AssClown won"
"rock","12335542","paper","12983734","AssClown won"
"rock","28398765","paper","29054750","AssClown won"
"rock","17072150","paper","17721215","AssClown won"
"rock","12283859","paper","12940525","AssClown won"
"rock","26822394","paper","26898062","AssClown won"
"rock","15634957","paper","16261552","AssClown won"
"rock","17210915","paper","17835694","AssClown won"
"rock","12236391","paper","12883939","AssClown won"
"rock","13295267","paper","13922482","AssClown won"
"rock","12797751","paper","13421880","AssClown won"
"rock","9343202","paper","9965135","AssClown won"
"rock","13304847","paper","15304761","AssClown won"
"rock","26456255","paper","27143008","AssClown won"
"rock","18227947","paper","18152404","AssClown won"
"rock","11863746","paper","12511973","AssClown won"
"rock","10343903","paper","10791395","AssClown won"
"rock","12587240","paper","13134481","AssClown won"
"rock","11595982","paper","11673873","AssClown won"
"rock","9563660","paper","10038499","AssClown won"
"rock","12264981","paper","12720298","AssClown won"
"rock","13213158","paper","13680388","AssClown won"
"rock","8227926","paper","8705488","AssClown won"
"rock","12631878","paper","13083980","AssClown won"
"rock","7520778","paper","4271932","AssClown won"
"rock","9119336","paper","8637761","AssClown won"
"rock","12710273","paper","12436307","AssClown won"
"rock","11310485","paper","11789871","AssClown won"
"rock","15817284","paper","16275779","AssClown won"
"rock","8317587","paper","8786663","AssClown won"
"rock","6723598","paper","6710289","AssClown won"
"rock","3014753","paper","7152822","AssClown won"
"rock","9315412","paper","9261874","AssClown won"
"rock","3336382","paper","7663196","AssClown won"
"rock","8360595","paper","7783826","AssClown won"
"rock","13809402","paper","14270503","AssClown won"
"rock","8170757","paper","8640197","AssClown won"
"rock","12510914","paper","12964257","AssClown won"
"rock","21096415","paper","21559643","AssClown won"
"rock","8808634","paper","9258838","AssClown won"
"rock","12671503","paper","12724392","AssClown won"
"rock","12460391","paper","12913662","AssClown won"
"rock","13311569","paper","13752834","AssClown won"
"rock","12501001","paper","12940421","AssClown won"
"rock","7614686","paper","8087705","AssClown won"
"rock","9299177","paper","9735270","AssClown won"
"rock","8007336","paper","8470495","AssClown won"
"rock","12480678","paper","12930362","AssClown won"
"rock","9902017","paper","10344463","AssClown won"
"rock","13331524","paper","13790507","AssClown won"
"rock","8497371","paper","8957201","AssClown won"
"rock","8506631","paper","8945360","AssClown won"
"rock","4702404","paper","4689203","AssClown won"
"rock","12957377","paper","13394962","AssClown won"
"rock","8413746","paper","8859286","AssClown won"
"rock","7893061","paper","8365495","AssClown won"
"rock","12956696","paper","13441032","AssClown won"
"rock","13413813","paper","13888404","AssClown won"
"rock","16460152","paper","16535451","AssClown won"
"rock","12997355","paper","13460586","AssClown won"
"rock","13877784","paper","13891338","AssClown won"
"rock","11537658","paper","11995996","AssClown won"
"rock","7605041","paper","7663506","AssClown won"
"rock","8256710","paper","8803342","AssClown won"
"rock","15540476","paper","15467827","AssClown won"
"rock","8711255","paper","9162242","AssClown won"
"rock","12515304","paper","13070233","AssClown won"
"rock","8647730","paper","10487459","AssClown won"
"rock","13885974","paper","14656815","AssClown won"
"rock","8861134","paper","13306240","AssClown won"
"rock","9230602","paper","9691690","AssClown won"
"rock","14636458","paper","15308645","AssClown won"
"rock","13317435","paper","13768768","AssClown won"
"rock","9899506","paper","10373781","AssClown won"
"rock","12673050","paper","13101280","AssClown won"
"rock","8293653","paper","8738798","AssClown won"
"rock","13155369","paper","13581650","AssClown won"
"rock","9455781","paper","9879010","AssClown won"
"rock","6249444","paper","5989425","AssClown won"
"rock","5620862","paper","6026597","AssClown won"
"rock","4890702","paper","4662810","AssClown won"
"rock","5442696","paper","5214532","AssClown won"
"rock","11684505","paper","12108985","AssClown won"
"rock","12630506","paper","13056203","AssClown won"
"rock","12626567","paper","13055421","AssClown won"
"rock","8218169","paper","8685082","AssClown won"
"rock","12690139","paper","13126859","AssClown won"
"rock","7887413","paper","8321977","AssClown won"
"rock","6042278","paper","5811009","AssClown won"
"rock","5321152","paper","5364553","AssClown won"
"rock","4891852","paper","4658645","AssClown won"
"rock","8393400","paper","8861923","AssClown won"
"rock","10221885","paper","10704954","AssClown won"
"rock","8955774","paper","9414253","AssClown won"
"rock","11821844","paper","12305518","AssClown won"
"rock","13127264","paper","13568997","AssClown won"
"rock","8034770","paper","8513970","AssClown won"
"rock","17004670","paper","17462604","AssClown won"
"rock","8291957","paper","8822204","AssClown won"
"rock","12383549","paper","12860075","AssClown won"
"rock","9134417","paper","9590169","AssClown won"
"rock","8579435","paper","9040165","AssClown won"
"rock","9608166","paper","10072148","AssClown won"
"rock","11006736","paper","11470108","AssClown won"
"rock","6134384","paper","6677827","AssClown won"
"rock","9608964","paper","9651799","AssClown won"
"rock","9046101","paper","9476974","AssClown won"
"rock","12882850","paper","11284052","AssClown won"
"rock","8098296","paper","8542339","AssClown won"
"rock","8167251","paper","8598506","AssClown won"
"rock","13922746","paper","14437279","AssClown won"
"rock","8064765","paper","8514737","AssClown won"
"rock","8026425","paper","8073734","AssClown won"
"rock","6962344","paper","7491217","AssClown won"
"rock","12500743","paper","12928023","AssClown won"
"rock","9995222","paper","10038038","AssClown won"
"rock","8735199","paper","9166921","AssClown won"
"rock","12203661","paper","12668838","AssClown won"
"rock","10605876","paper","11083720","AssClown won"
"rock","12324710","paper","12766685","AssClown won"
"rock","12164828","paper","12618763","AssClown won"
"rock","9938633","paper","9981796","AssClown won"
"rock","8701465","paper","9132420","AssClown won"
"rock","7512804","paper","7942138","AssClown won"
"rock","18128990","paper","18571038","AssClown won"
"rock","9941304","paper","10377569","AssClown won"
"rock","12649927","paper","13134144","AssClown won"
"rock","11247984","paper","11258856","AssClown won"
"rock","10613206","paper","11083247","AssClown won"
"rock","9956289","paper","10449377","AssClown won"
"rock","12534036","paper","12999853","AssClown won"
"rock","13258037","paper","13777236","AssClown won"
"rock","10289764","paper","10724065","AssClown won"
"rock","10802932","paper","11249064","AssClown won"
