"Avalanch","JesseThoughtOfMyTeamAndClientNames","The winner is JesseThoughtOfMyTeamAndClientNames"
"2","997","1"
"rock","11897563","rock","11354681","Tie"
"rock","6119857","scissors","6584291","Avalanch won"
"rock","2963404","scissors","5118529","Avalanch won"
"rock","4437359","paper","4923510","JesseThoughtOfMyTeamAndClientNames won"
"rock","6948251","paper","7392065","JesseThoughtOfMyTeamAndClientNames won"
"rock","4533108","paper","5028373","JesseThoughtOfMyTeamAndClientNames won"
"rock","3724804","paper","4202719","JesseThoughtOfMyTeamAndClientNames won"
"rock","4880906","paper","5317770","JesseThoughtOfMyTeamAndClientNames won"
"rock","4607506","paper","5040885","JesseThoughtOfMyTeamAndClientNames won"
"rock","6309323","paper","6755048","JesseThoughtOfMyTeamAndClientNames won"
"rock","6841458","paper","7275449","JesseThoughtOfMyTeamAndClientNames won"
"rock","4618519","paper","5056836","JesseThoughtOfMyTeamAndClientNames won"
"rock","4349295","paper","4792707","JesseThoughtOfMyTeamAndClientNames won"
"rock","4783764","paper","5225135","JesseThoughtOfMyTeamAndClientNames won"
"rock","4590456","paper","5025525","JesseThoughtOfMyTeamAndClientNames won"
"rock","3154324","paper","6523916","JesseThoughtOfMyTeamAndClientNames won"
"rock","3118893","paper","7077701","JesseThoughtOfMyTeamAndClientNames won"
"rock","5065898","paper","5503808","JesseThoughtOfMyTeamAndClientNames won"
"rock","8156945","paper","7869756","JesseThoughtOfMyTeamAndClientNames won"
"rock","4864374","paper","5304340","JesseThoughtOfMyTeamAndClientNames won"
"rock","3666757","paper","4110517","JesseThoughtOfMyTeamAndClientNames won"
"rock","3503221","paper","3942024","JesseThoughtOfMyTeamAndClientNames won"
"rock","6521159","paper","6951761","JesseThoughtOfMyTeamAndClientNames won"
"rock","4640949","paper","5077873","JesseThoughtOfMyTeamAndClientNames won"
"rock","4579322","paper","5029397","JesseThoughtOfMyTeamAndClientNames won"
"rock","4536702","paper","4974036","JesseThoughtOfMyTeamAndClientNames won"
"rock","4595948","paper","5030192","JesseThoughtOfMyTeamAndClientNames won"
"rock","4042770","paper","4508073","JesseThoughtOfMyTeamAndClientNames won"
"rock","5096879","paper","5533025","JesseThoughtOfMyTeamAndClientNames won"
"rock","4656353","paper","5094049","JesseThoughtOfMyTeamAndClientNames won"
"rock","4580439","paper","5015082","JesseThoughtOfMyTeamAndClientNames won"
"rock","4666683","paper","5132448","JesseThoughtOfMyTeamAndClientNames won"
"rock","4498369","paper","4938556","JesseThoughtOfMyTeamAndClientNames won"
"rock","4849993","paper","4588796","JesseThoughtOfMyTeamAndClientNames won"
"rock","7224500","paper","7496055","JesseThoughtOfMyTeamAndClientNames won"
"rock","3318207","paper","8775938","JesseThoughtOfMyTeamAndClientNames won"
"rock","4884001","paper","5380877","JesseThoughtOfMyTeamAndClientNames won"
"rock","4514974","paper","4950186","JesseThoughtOfMyTeamAndClientNames won"
"rock","4612560","paper","5054017","JesseThoughtOfMyTeamAndClientNames won"
"rock","4431257","paper","4877457","JesseThoughtOfMyTeamAndClientNames won"
"rock","4751891","paper","5198242","JesseThoughtOfMyTeamAndClientNames won"
"rock","4606165","paper","5038731","JesseThoughtOfMyTeamAndClientNames won"
"rock","4632545","paper","5066295","JesseThoughtOfMyTeamAndClientNames won"
"rock","4593496","paper","5034814","JesseThoughtOfMyTeamAndClientNames won"
"rock","4609125","paper","5059271","JesseThoughtOfMyTeamAndClientNames won"
"rock","4567731","paper","8574459","JesseThoughtOfMyTeamAndClientNames won"
"rock","8784548","paper","7990800","JesseThoughtOfMyTeamAndClientNames won"
"rock","4955737","paper","5365847","JesseThoughtOfMyTeamAndClientNames won"
"rock","7149234","paper","7401821","JesseThoughtOfMyTeamAndClientNames won"
"rock","3726190","paper","4150160","JesseThoughtOfMyTeamAndClientNames won"
"rock","4669747","paper","5100390","JesseThoughtOfMyTeamAndClientNames won"
"rock","3817650","paper","3489754","JesseThoughtOfMyTeamAndClientNames won"
"rock","5640317","paper","6068890","JesseThoughtOfMyTeamAndClientNames won"
"rock","4631136","paper","5058713","JesseThoughtOfMyTeamAndClientNames won"
"rock","3129958","paper","5781531","JesseThoughtOfMyTeamAndClientNames won"
"rock","3879147","paper","4313229","JesseThoughtOfMyTeamAndClientNames won"
"rock","4598903","paper","5031297","JesseThoughtOfMyTeamAndClientNames won"
"rock","4623791","paper","5300518","JesseThoughtOfMyTeamAndClientNames won"
"rock","4341791","paper","4776189","JesseThoughtOfMyTeamAndClientNames won"
"rock","4614310","paper","5044753","JesseThoughtOfMyTeamAndClientNames won"
"rock","4803132","paper","4536080","JesseThoughtOfMyTeamAndClientNames won"
"rock","4678561","paper","5115380","JesseThoughtOfMyTeamAndClientNames won"
"rock","4615218","paper","5057318","JesseThoughtOfMyTeamAndClientNames won"
"rock","4601659","paper","5034666","JesseThoughtOfMyTeamAndClientNames won"
"rock","4594173","paper","5030633","JesseThoughtOfMyTeamAndClientNames won"
"rock","4599353","paper","5042011","JesseThoughtOfMyTeamAndClientNames won"
"rock","4720779","paper","5189061","JesseThoughtOfMyTeamAndClientNames won"
"rock","4505872","paper","4958598","JesseThoughtOfMyTeamAndClientNames won"
"rock","4414546","paper","4903504","JesseThoughtOfMyTeamAndClientNames won"
"rock","4672834","paper","4410977","JesseThoughtOfMyTeamAndClientNames won"
"rock","8772195","paper","8481249","JesseThoughtOfMyTeamAndClientNames won"
"rock","3259649","paper","3688998","JesseThoughtOfMyTeamAndClientNames won"
"rock","6538578","paper","6153122","JesseThoughtOfMyTeamAndClientNames won"
"rock","4717763","paper","5174373","JesseThoughtOfMyTeamAndClientNames won"
"rock","4289272","paper","4771096","JesseThoughtOfMyTeamAndClientNames won"
"rock","4448495","paper","4879610","JesseThoughtOfMyTeamAndClientNames won"
"rock","4628081","paper","5059147","JesseThoughtOfMyTeamAndClientNames won"
"rock","4618142","paper","5044553","JesseThoughtOfMyTeamAndClientNames won"
"rock","3577637","paper","4459861","JesseThoughtOfMyTeamAndClientNames won"
"rock","9543908","paper","9259570","JesseThoughtOfMyTeamAndClientNames won"
"rock","4337686","paper","4815415","JesseThoughtOfMyTeamAndClientNames won"
"rock","4550826","paper","4980562","JesseThoughtOfMyTeamAndClientNames won"
"rock","4594788","paper","5028021","JesseThoughtOfMyTeamAndClientNames won"
"rock","4459087","paper","4894528","JesseThoughtOfMyTeamAndClientNames won"
"rock","3721563","paper","4159020","JesseThoughtOfMyTeamAndClientNames won"
"rock","3828156","paper","4263251","JesseThoughtOfMyTeamAndClientNames won"
"rock","5940757","paper","6384668","JesseThoughtOfMyTeamAndClientNames won"
"rock","4594518","paper","5034001","JesseThoughtOfMyTeamAndClientNames won"
"rock","4531878","paper","5026846","JesseThoughtOfMyTeamAndClientNames won"
"rock","4534882","paper","4970597","JesseThoughtOfMyTeamAndClientNames won"
"rock","4276859","paper","4711393","JesseThoughtOfMyTeamAndClientNames won"
"rock","4099341","paper","4567133","JesseThoughtOfMyTeamAndClientNames won"
"rock","5106790","paper","5554592","JesseThoughtOfMyTeamAndClientNames won"
"rock","4575963","paper","5008710","JesseThoughtOfMyTeamAndClientNames won"
"rock","4593431","paper","6592757","JesseThoughtOfMyTeamAndClientNames won"
"rock","8382500","paper","8927810","JesseThoughtOfMyTeamAndClientNames won"
"rock","2965347","paper","6664264","JesseThoughtOfMyTeamAndClientNames won"
"rock","3618809","paper","4110766","JesseThoughtOfMyTeamAndClientNames won"
"rock","6217798","paper","6649771","JesseThoughtOfMyTeamAndClientNames won"
"rock","4602865","paper","5037399","JesseThoughtOfMyTeamAndClientNames won"
"rock","4613887","paper","5053847","JesseThoughtOfMyTeamAndClientNames won"
"rock","4525081","paper","4952609","JesseThoughtOfMyTeamAndClientNames won"
"rock","4621066","paper","5060114","JesseThoughtOfMyTeamAndClientNames won"
"rock","4656428","paper","5104092","JesseThoughtOfMyTeamAndClientNames won"
"rock","4316623","paper","4761776","JesseThoughtOfMyTeamAndClientNames won"
"rock","4554579","paper","4990084","JesseThoughtOfMyTeamAndClientNames won"
"rock","4594501","paper","5029841","JesseThoughtOfMyTeamAndClientNames won"
"rock","5398475","paper","5914561","JesseThoughtOfMyTeamAndClientNames won"
"rock","3365956","paper","3803978","JesseThoughtOfMyTeamAndClientNames won"
"rock","16823224","paper","17295306","JesseThoughtOfMyTeamAndClientNames won"
"rock","4103001","paper","4536179","JesseThoughtOfMyTeamAndClientNames won"
"rock","4250330","paper","4686906","JesseThoughtOfMyTeamAndClientNames won"
"rock","4409998","paper","4851835","JesseThoughtOfMyTeamAndClientNames won"
"rock","4371312","paper","4806833","JesseThoughtOfMyTeamAndClientNames won"
"rock","4426144","paper","4868055","JesseThoughtOfMyTeamAndClientNames won"
"rock","3616614","paper","4103149","JesseThoughtOfMyTeamAndClientNames won"
"rock","5602756","paper","5327065","JesseThoughtOfMyTeamAndClientNames won"
"rock","4421348","paper","4858792","JesseThoughtOfMyTeamAndClientNames won"
"rock","3941794","paper","4413249","JesseThoughtOfMyTeamAndClientNames won"
"rock","4956830","paper","4689917","JesseThoughtOfMyTeamAndClientNames won"
"rock","4462405","paper","4897129","JesseThoughtOfMyTeamAndClientNames won"
"rock","4381113","paper","5084898","JesseThoughtOfMyTeamAndClientNames won"
"rock","4026128","paper","4457232","JesseThoughtOfMyTeamAndClientNames won"
"rock","5208205","paper","5669718","JesseThoughtOfMyTeamAndClientNames won"
"rock","3524143","paper","3954984","JesseThoughtOfMyTeamAndClientNames won"
"rock","4704102","paper","5143205","JesseThoughtOfMyTeamAndClientNames won"
"rock","4388274","paper","4826799","JesseThoughtOfMyTeamAndClientNames won"
"rock","4380072","paper","4835509","JesseThoughtOfMyTeamAndClientNames won"
"rock","4372027","paper","4819640","JesseThoughtOfMyTeamAndClientNames won"
"rock","4361701","paper","4813523","JesseThoughtOfMyTeamAndClientNames won"
"rock","4367442","paper","4811986","JesseThoughtOfMyTeamAndClientNames won"
"rock","4368310","paper","4813816","JesseThoughtOfMyTeamAndClientNames won"
"rock","4537056","paper","4827491","JesseThoughtOfMyTeamAndClientNames won"
"rock","4225202","paper","4762463","JesseThoughtOfMyTeamAndClientNames won"
"rock","4258039","paper","4697571","JesseThoughtOfMyTeamAndClientNames won"
"rock","4257510","paper","4691156","JesseThoughtOfMyTeamAndClientNames won"
"rock","8976666","paper","9263919","JesseThoughtOfMyTeamAndClientNames won"
"rock","3847212","paper","4294220","JesseThoughtOfMyTeamAndClientNames won"
"rock","4454847","paper","4957525","JesseThoughtOfMyTeamAndClientNames won"
"rock","4443778","paper","4177819","JesseThoughtOfMyTeamAndClientNames won"
"rock","5277102","paper","5716607","JesseThoughtOfMyTeamAndClientNames won"
"rock","4392969","paper","4828255","JesseThoughtOfMyTeamAndClientNames won"
"rock","4353421","paper","4785915","JesseThoughtOfMyTeamAndClientNames won"
"rock","3860631","paper","4114705","JesseThoughtOfMyTeamAndClientNames won"
"rock","4505264","paper","6070845","JesseThoughtOfMyTeamAndClientNames won"
"rock","6725982","paper","7056929","JesseThoughtOfMyTeamAndClientNames won"
"rock","4402095","paper","4811979","JesseThoughtOfMyTeamAndClientNames won"
"rock","4417203","paper","4828199","JesseThoughtOfMyTeamAndClientNames won"
"rock","4651572","paper","5060580","JesseThoughtOfMyTeamAndClientNames won"
"rock","4655859","paper","5075254","JesseThoughtOfMyTeamAndClientNames won"
"rock","3017440","paper","7122944","JesseThoughtOfMyTeamAndClientNames won"
"rock","4924910","paper","5380455","JesseThoughtOfMyTeamAndClientNames won"
"rock","4519524","paper","4945630","JesseThoughtOfMyTeamAndClientNames won"
"rock","4621806","paper","5058244","JesseThoughtOfMyTeamAndClientNames won"
"rock","5396468","paper","5447469","JesseThoughtOfMyTeamAndClientNames won"
"rock","4377040","paper","4816247","JesseThoughtOfMyTeamAndClientNames won"
"rock","3417120","paper","3861286","JesseThoughtOfMyTeamAndClientNames won"
"rock","5684041","paper","6116962","JesseThoughtOfMyTeamAndClientNames won"
"rock","4293926","paper","4743609","JesseThoughtOfMyTeamAndClientNames won"
"rock","3787458","paper","4212173","JesseThoughtOfMyTeamAndClientNames won"
"rock","5362114","paper","5812100","JesseThoughtOfMyTeamAndClientNames won"
"rock","4545829","paper","4969394","JesseThoughtOfMyTeamAndClientNames won"
"rock","8782723","paper","9262471","JesseThoughtOfMyTeamAndClientNames won"
"rock","8460713","paper","8939354","JesseThoughtOfMyTeamAndClientNames won"
"rock","9020725","paper","9033997","JesseThoughtOfMyTeamAndClientNames won"
"rock","12414864","paper","12872432","JesseThoughtOfMyTeamAndClientNames won"
"rock","9436474","paper","9950756","JesseThoughtOfMyTeamAndClientNames won"
"rock","8240949","paper","8733256","JesseThoughtOfMyTeamAndClientNames won"
"rock","11737457","paper","12240340","JesseThoughtOfMyTeamAndClientNames won"
"rock","13010163","paper","13505090","JesseThoughtOfMyTeamAndClientNames won"
"rock","9510537","paper","10000547","JesseThoughtOfMyTeamAndClientNames won"
"rock","8359124","paper","8846382","JesseThoughtOfMyTeamAndClientNames won"
"rock","8436428","paper","9131172","JesseThoughtOfMyTeamAndClientNames won"
"rock","8232921","paper","8906406","JesseThoughtOfMyTeamAndClientNames won"
"rock","8331826","paper","9006396","JesseThoughtOfMyTeamAndClientNames won"
"rock","16236004","paper","16929986","JesseThoughtOfMyTeamAndClientNames won"
"rock","9287523","paper","9940837","JesseThoughtOfMyTeamAndClientNames won"
"rock","8314259","paper","8942345","JesseThoughtOfMyTeamAndClientNames won"
"rock","8294725","paper","8935085","JesseThoughtOfMyTeamAndClientNames won"
"rock","7504156","paper","8294633","JesseThoughtOfMyTeamAndClientNames won"
"rock","9297068","paper","9992156","JesseThoughtOfMyTeamAndClientNames won"
"rock","12084367","paper","12801787","JesseThoughtOfMyTeamAndClientNames won"
"rock","8804060","paper","8816520","JesseThoughtOfMyTeamAndClientNames won"
"rock","8667557","paper","9348325","JesseThoughtOfMyTeamAndClientNames won"
"rock","8302210","paper","8988757","JesseThoughtOfMyTeamAndClientNames won"
"rock","7900851","paper","7933070","JesseThoughtOfMyTeamAndClientNames won"
"rock","8733700","paper","9381030","JesseThoughtOfMyTeamAndClientNames won"
"rock","8220107","paper","8845596","JesseThoughtOfMyTeamAndClientNames won"
"rock","8308506","paper","8929266","JesseThoughtOfMyTeamAndClientNames won"
"rock","8441989","paper","9064878","JesseThoughtOfMyTeamAndClientNames won"
"rock","7444980","paper","8087048","JesseThoughtOfMyTeamAndClientNames won"
"rock","15869081","paper","16522675","JesseThoughtOfMyTeamAndClientNames won"
"rock","8978822","paper","9592903","JesseThoughtOfMyTeamAndClientNames won"
"rock","11078504","paper","11698591","JesseThoughtOfMyTeamAndClientNames won"
"rock","9473010","paper","11486854","JesseThoughtOfMyTeamAndClientNames won"
"rock","11798156","paper","12565558","JesseThoughtOfMyTeamAndClientNames won"
"rock","10921263","paper","11548252","JesseThoughtOfMyTeamAndClientNames won"
"rock","9448456","paper","10080884","JesseThoughtOfMyTeamAndClientNames won"
"rock","8332357","paper","8967401","JesseThoughtOfMyTeamAndClientNames won"
"rock","8356529","paper","9037213","JesseThoughtOfMyTeamAndClientNames won"
"rock","12312590","paper","12996249","JesseThoughtOfMyTeamAndClientNames won"
"rock","5365004","paper","5107991","JesseThoughtOfMyTeamAndClientNames won"
"rock","4454100","paper","5071657","JesseThoughtOfMyTeamAndClientNames won"
"rock","4374775","paper","5001444","JesseThoughtOfMyTeamAndClientNames won"
"rock","4326279","paper","5000050","JesseThoughtOfMyTeamAndClientNames won"
"rock","5090081","paper","5141972","JesseThoughtOfMyTeamAndClientNames won"
"rock","4374713","paper","4986629","JesseThoughtOfMyTeamAndClientNames won"
"rock","4441013","paper","5082923","JesseThoughtOfMyTeamAndClientNames won"
"rock","4274909","paper","4896805","JesseThoughtOfMyTeamAndClientNames won"
