"Avalanch","Poop","The winner is Poop"
"0","999","1"
"rock","14560218","rock","15413525","Tie"
"rock","15138562","paper","15747283","Poop won"
"rock","21297009","paper","21780999","Poop won"
"rock","4489752","paper","4987933","Poop won"
"rock","9402891","paper","9896266","Poop won"
"rock","9726625","paper","10265529","Poop won"
"rock","10775552","paper","11266563","Poop won"
"rock","13286980","paper","13775923","Poop won"
"rock","8341606","paper","8819564","Poop won"
"rock","12188518","paper","12682685","Poop won"
"rock","8208951","paper","8670027","Poop won"
"rock","10009826","paper","10491899","Poop won"
"rock","10774046","paper","11264333","Poop won"
"rock","12956927","paper","13446415","Poop won"
"rock","15515287","paper","16001642","Poop won"
"rock","9677486","paper","10163985","Poop won"
"rock","13685520","paper","14215678","Poop won"
"rock","14208955","paper","14717984","Poop won"
"rock","7527344","paper","8006691","Poop won"
"rock","6864543","paper","7384323","Poop won"
"rock","9948694","paper","10457857","Poop won"
"rock","8195116","paper","8672083","Poop won"
"rock","12322536","paper","12800014","Poop won"
"rock","9490298","paper","9990659","Poop won"
"rock","7799949","paper","8290564","Poop won"
"rock","8725462","paper","9201076","Poop won"
"rock","8500611","paper","9030031","Poop won"
"rock","13492929","paper","13984014","Poop won"
"rock","11076058","paper","11573963","Poop won"
"rock","9994640","paper","10531734","Poop won"
"rock","8727523","paper","9214077","Poop won"
"rock","8090357","paper","8568245","Poop won"
"rock","8288342","paper","8801948","Poop won"
"rock","15405524","paper","14776935","Poop won"
"rock","9396246","paper","9909509","Poop won"
"rock","12466758","paper","13046874","Poop won"
"rock","13063687","paper","13555051","Poop won"
"rock","8863387","paper","9362370","Poop won"
"rock","11827818","paper","12339066","Poop won"
"rock","11027306","paper","11525014","Poop won"
"rock","9659395","paper","10146442","Poop won"
"rock","8151831","paper","8672551","Poop won"
"rock","4898397","paper","5364608","Poop won"
"rock","7792781","paper","8280115","Poop won"
"rock","7333696","paper","7794278","Poop won"
"rock","9696635","paper","13705566","Poop won"
"rock","13152071","paper","11824590","Poop won"
"rock","8048345","paper","8535204","Poop won"
"rock","9321282","paper","9774093","Poop won"
"rock","8618620","paper","9100677","Poop won"
"rock","10488375","paper","11097876","Poop won"
"rock","8825429","paper","9330915","Poop won"
"rock","9774876","paper","10239516","Poop won"
"rock","9220662","paper","9704694","Poop won"
"rock","8119789","paper","8588753","Poop won"
"rock","12005467","paper","12493131","Poop won"
"rock","11101438","paper","11574270","Poop won"
"rock","11026423","paper","11510110","Poop won"
"rock","9656783","paper","10194247","Poop won"
"rock","11707476","paper","12176088","Poop won"
"rock","13391247","paper","13871607","Poop won"
"rock","13112901","paper","13589318","Poop won"
"rock","8213767","paper","8815460","Poop won"
"rock","8127664","paper","8635795","Poop won"
"rock","6040348","paper","6529648","Poop won"
"rock","12811766","paper","13300811","Poop won"
"rock","6249506","paper","6723342","Poop won"
"rock","13451993","paper","14056270","Poop won"
"rock","11159782","paper","11664978","Poop won"
"rock","7968655","paper","8449088","Poop won"
"rock","4608696","paper","5063316","Poop won"
"rock","15770206","paper","16249167","Poop won"
"rock","8257302","paper","8779951","Poop won"
"rock","9184404","paper","9667858","Poop won"
"rock","11182235","paper","11672632","Poop won"
"rock","11436413","paper","11954687","Poop won"
"rock","7858361","paper","8342869","Poop won"
"rock","8602324","paper","9085668","Poop won"
"rock","10418139","paper","11311132","Poop won"
"rock","11039362","paper","11517004","Poop won"
"rock","15407921","paper","15886025","Poop won"
"rock","15848870","paper","16335043","Poop won"
"rock","11284800","paper","11776480","Poop won"
"rock","5799977","paper","6247748","Poop won"
"rock","8624515","paper","9145400","Poop won"
"rock","8160575","paper","8646924","Poop won"
"rock","8250719","paper","8725595","Poop won"
"rock","5088432","paper","5553142","Poop won"
"rock","11676536","paper","12191891","Poop won"
"rock","8670628","paper","9158260","Poop won"
"rock","8887939","paper","9388855","Poop won"
"rock","12301077","paper","12795761","Poop won"
"rock","12133698","paper","12615813","Poop won"
"rock","8809026","paper","9432840","Poop won"
"rock","5535788","paper","7569378","Poop won"
"rock","10500473","paper","11046690","Poop won"
"rock","10478940","paper","10941408","Poop won"
"rock","8713611","paper","9180114","Poop won"
"rock","11277224","paper","11773763","Poop won"
"rock","15065321","paper","15556419","Poop won"
"rock","9782510","paper","10300477","Poop won"
"rock","6837716","paper","7290830","Poop won"
"rock","6393809","paper","6835629","Poop won"
"rock","11027323","paper","11661623","Poop won"
"rock","8055319","paper","8552403","Poop won"
"rock","8320956","paper","8807306","Poop won"
"rock","8335303","paper","8914701","Poop won"
"rock","7380616","paper","7963734","Poop won"
"rock","6422371","paper","6877864","Poop won"
"rock","9610801","paper","10157004","Poop won"
"rock","9454904","paper","9947334","Poop won"
"rock","6820095","paper","7288747","Poop won"
"rock","9711622","paper","10245638","Poop won"
"rock","10944452","paper","11450437","Poop won"
"rock","10175258","paper","10235724","Poop won"
"rock","15436667","paper","15551044","Poop won"
"rock","15079607","paper","15579613","Poop won"
"rock","8999885","paper","9484143","Poop won"
"rock","13679706","paper","14216936","Poop won"
"rock","9327421","paper","9813749","Poop won"
"rock","9565738","paper","10052648","Poop won"
"rock","10960972","paper","11450066","Poop won"
"rock","13115720","paper","13189313","Poop won"
"rock","8176164","paper","8839584","Poop won"
"rock","9570258","paper","9584258","Poop won"
"rock","11925339","paper","11040610","Poop won"
"rock","8988436","paper","9665163","Poop won"
"rock","7929119","paper","8612433","Poop won"
"rock","8732644","paper","9422649","Poop won"
"rock","19320376","paper","19393734","Poop won"
"rock","9375122","paper","10037474","Poop won"
"rock","8389804","paper","9136337","Poop won"
"rock","11712504","paper","12487515","Poop won"
"rock","9043227","paper","9716307","Poop won"
"rock","12375710","paper","13089803","Poop won"
"rock","10285013","paper","10966610","Poop won"
"rock","8477204","paper","9154474","Poop won"
"rock","10917713","paper","11735260","Poop won"
"rock","16388954","paper","17068916","Poop won"
"rock","7511601","paper","8175961","Poop won"
"rock","9675707","paper","10400495","Poop won"
"rock","8735103","paper","12423644","Poop won"
"rock","8334399","paper","9023841","Poop won"
"rock","17604643","paper","17685162","Poop won"
"rock","15154575","paper","17244071","Poop won"
"rock","13543211","paper","13614980","Poop won"
"rock","8264916","paper","8934612","Poop won"
"rock","12413899","paper","13074319","Poop won"
"rock","9205944","paper","9858068","Poop won"
"rock","12238774","paper","12942182","Poop won"
"rock","13449210","paper","12838536","Poop won"
"rock","8210261","paper","8874474","Poop won"
"rock","8923386","paper","9636298","Poop won"
"rock","14044288","paper","14742242","Poop won"
"rock","8114889","paper","9044695","Poop won"
"rock","8876870","paper","9605719","Poop won"
"rock","11860316","paper","14520383","Poop won"
"rock","7574232","paper","8245780","Poop won"
"rock","9653349","paper","10367543","Poop won"
"rock","10492110","paper","11222658","Poop won"
"rock","10701144","paper","11360141","Poop won"
"rock","9276634","paper","9953624","Poop won"
"rock","10895312","paper","11376225","Poop won"
"rock","9457343","paper","9950074","Poop won"
"rock","7011988","paper","7521434","Poop won"
"rock","8774022","paper","9292930","Poop won"
"rock","9698172","paper","10196323","Poop won"
"rock","9381267","paper","9863880","Poop won"
"rock","9905937","paper","10391704","Poop won"
"rock","9369882","paper","9382879","Poop won"
"rock","12170499","paper","12717270","Poop won"
"rock","8048493","paper","8526764","Poop won"
"rock","12448073","paper","12973562","Poop won"
"rock","10261192","paper","10274116","Poop won"
"rock","8432673","paper","8445906","Poop won"
"rock","9793377","paper","9854306","Poop won"
"rock","19932753","paper","19856224","Poop won"
"rock","8730741","paper","9235630","Poop won"
"rock","9697312","paper","9757415","Poop won"
"rock","11358363","paper","11371919","Poop won"
"rock","10624874","paper","10681002","Poop won"
"rock","15602090","paper","16222160","Poop won"
"rock","8035120","paper","8518555","Poop won"
"rock","8393113","paper","8873986","Poop won"
"rock","9146944","paper","9159993","Poop won"
"rock","5376937","paper","5877239","Poop won"
"rock","7041936","paper","7541487","Poop won"
"rock","9411622","paper","9874895","Poop won"
"rock","13823678","paper","14288147","Poop won"
"rock","8308414","paper","8786233","Poop won"
"rock","9309542","paper","9765345","Poop won"
"rock","8171587","paper","8640514","Poop won"
"rock","8777825","paper","9298124","Poop won"
"rock","16024145","paper","16492001","Poop won"
"rock","9731044","paper","11629171","Poop won"
"rock","10850905","paper","11401378","Poop won"
"rock","14593794","paper","15056175","Poop won"
"rock","11148698","paper","11598900","Poop won"
"rock","9462732","paper","9968185","Poop won"
"rock","16116487","paper","16608412","Poop won"
"rock","9451755","paper","9910778","Poop won"
"rock","12479773","paper","13020143","Poop won"
"rock","9994651","paper","10007901","Poop won"
"rock","7070586","paper","7544201","Poop won"
"rock","9347716","paper","9875620","Poop won"
"rock","11186509","paper","11666009","Poop won"
"rock","13319217","paper","13809845","Poop won"
"rock","7993207","paper","8464094","Poop won"
"rock","8900271","paper","9406948","Poop won"
"rock","8174659","paper","8658413","Poop won"
"rock","7251404","paper","7718715","Poop won"
"rock","9534117","paper","10072909","Poop won"
"rock","13240382","paper","13714515","Poop won"
"rock","11133289","paper","11608405","Poop won"
"rock","10429434","paper","10946182","Poop won"
"rock","8380442","paper","8860258","Poop won"
"rock","11418577","paper","11886882","Poop won"
"rock","10586409","paper","11104290","Poop won"
"rock","8147266","paper","8758640","Poop won"
"rock","7476437","paper","7967051","Poop won"
"rock","8900473","paper","9428974","Poop won"
"rock","11278927","paper","11763333","Poop won"
"rock","9635232","paper","10110483","Poop won"
"rock","11192249","paper","11682754","Poop won"
"rock","11713152","paper","12182060","Poop won"
"rock","7710931","paper","8162231","Poop won"
"rock","9677412","paper","10189542","Poop won"
"rock","10421498","paper","10890461","Poop won"
"rock","13406935","paper","13887144","Poop won"
"rock","12273974","paper","12779289","Poop won"
"rock","10630673","paper","11104061","Poop won"
"rock","9750974","paper","10201139","Poop won"
"rock","11545289","paper","12030866","Poop won"
"rock","12408215","paper","12902929","Poop won"
"rock","9688388","paper","10153554","Poop won"
"rock","8923811","paper","8936866","Poop won"
"rock","11718917","paper","11123491","Poop won"
"rock","9397814","paper","9849565","Poop won"
"rock","11540134","paper","12042767","Poop won"
"rock","12674026","paper","12059166","Poop won"
"rock","8757795","paper","9240996","Poop won"
"rock","8094894","paper","8634476","Poop won"
"rock","8952155","paper","9447058","Poop won"
"rock","8269248","paper","8752658","Poop won"
"rock","10504593","paper","10517605","Poop won"
"rock","12538012","paper","13087247","Poop won"
"rock","10431308","paper","10978067","Poop won"
"rock","8477731","paper","8933736","Poop won"
"rock","9369397","paper","9934799","Poop won"
"rock","14389843","paper","16296017","Poop won"
