"Avalanch","hummingbird","Clients TIE!"
"0","1","999"
"rock","7198255","paper","2754598","hummingbird won"
"rock","3874921","rock","625921","Tie"
"rock","5081753","rock","636510","Tie"
"rock","3553046","rock","574321","Tie"
"rock","5949063","rock","5642415","Tie"
"rock","5008586","rock","642311","Tie"
"rock","5166873","rock","575300","Tie"
"rock","4951271","rock","819361","Tie"
"rock","5355784","rock","657721","Tie"
"rock","5081168","rock","610265","Tie"
"rock","3236976","rock","625378","Tie"
"rock","3334396","rock","617995","Tie"
"rock","5168258","rock","646809","Tie"
"rock","5257794","rock","635096","Tie"
"rock","5508541","rock","634216","Tie"
"rock","4977122","rock","653752","Tie"
"rock","5285419","rock","615180","Tie"
"rock","5265055","rock","626570","Tie"
"rock","5294258","rock","617594","Tie"
"rock","3388935","rock","815170","Tie"
"rock","7043368","rock","611610","Tie"
"rock","5270743","rock","665224","Tie"
"rock","5252748","rock","606160","Tie"
"rock","13743406","rock","609349","Tie"
"rock","5372043","rock","655423","Tie"
"rock","6037396","rock","625892","Tie"
"rock","5122710","rock","684679","Tie"
"rock","5144724","rock","590996","Tie"
"rock","3747047","rock","630663","Tie"
"rock","6803330","rock","617389","Tie"
"rock","5313572","rock","643094","Tie"
"rock","5226853","rock","624765","Tie"
"rock","5176832","rock","665854","Tie"
"rock","5258707","rock","613893","Tie"
"rock","5284857","rock","638925","Tie"
"rock","5251493","rock","627398","Tie"
"rock","6336696","rock","610254","Tie"
"rock","4081582","rock","701553","Tie"
"rock","3990270","rock","637067","Tie"
"rock","6417932","rock","616710","Tie"
"rock","2892277","rock","614734","Tie"
"rock","3903471","rock","627925","Tie"
"rock","5241142","rock","586227","Tie"
"rock","5283223","rock","618800","Tie"
"rock","5334649","rock","594815","Tie"
"rock","5120887","rock","652396","Tie"
"rock","8753533","rock","599654","Tie"
"rock","5649436","rock","687268","Tie"
"rock","5236689","rock","585696","Tie"
"rock","5391531","rock","574767","Tie"
"rock","5178589","rock","597683","Tie"
"rock","5113401","rock","654397","Tie"
"rock","5260901","rock","626485","Tie"
"rock","4459241","rock","623614","Tie"
"rock","7818117","rock","725493","Tie"
"rock","6498539","rock","585699","Tie"
"rock","5226517","rock","637641","Tie"
"rock","5111617","rock","654033","Tie"
"rock","5260154","rock","626598","Tie"
"rock","4626681","rock","620759","Tie"
"rock","5889015","rock","610733","Tie"
"rock","9322339","rock","602507","Tie"
"rock","5197914","rock","642641","Tie"
"rock","5114027","rock","653443","Tie"
"rock","5268530","rock","603553","Tie"
"rock","4808565","rock","642185","Tie"
"rock","5717898","rock","607183","Tie"
"rock","5268712","rock","599679","Tie"
"rock","5403300","rock","617573","Tie"
"rock","5374790","rock","666317","Tie"
"rock","5207831","rock","625701","Tie"
"rock","5509425","rock","618619","Tie"
"rock","4530647","rock","629541","Tie"
"rock","5914793","rock","615833","Tie"
"rock","5280951","rock","633215","Tie"
"rock","5264734","rock","679923","Tie"
"rock","5491906","rock","607802","Tie"
"rock","3829530","rock","611003","Tie"
"rock","6670086","rock","608282","Tie"
"rock","5278486","rock","1179783","Tie"
"rock","3176368","rock","582929","Tie"
"rock","3786310","rock","1806863","Tie"
"rock","5412082","rock","686585","Tie"
"rock","5196083","rock","641517","Tie"
"rock","5280673","rock","622615","Tie"
"rock","7776070","rock","717892","Tie"
"rock","6732836","rock","594276","Tie"
"rock","3797726","rock","746557","Tie"
"rock","6650702","rock","681619","Tie"
"rock","5263605","rock","614676","Tie"
"rock","5285492","rock","615561","Tie"
"rock","5180687","rock","620981","Tie"
"rock","5272485","rock","599193","Tie"
"rock","5294765","rock","616235","Tie"
"rock","5302217","rock","670819","Tie"
"rock","6744732","rock","608878","Tie"
"rock","3837486","rock","647421","Tie"
"rock","5198641","rock","631011","Tie"
"rock","5293168","rock","608267","Tie"
"rock","5305790","rock","720004","Tie"
"rock","5268115","rock","668673","Tie"
"rock","5222365","rock","646420","Tie"
"rock","4530645","rock","614038","Tie"
"rock","5992597","rock","726185","Tie"
"rock","5269438","rock","699381","Tie"
"rock","5524815","rock","608367","Tie"
"rock","5255039","rock","673967","Tie"
"rock","5209010","rock","591314","Tie"
"rock","5222609","rock","584641","Tie"
"rock","5273846","rock","587503","Tie"
"rock","5259971","rock","583399","Tie"
"rock","5370933","rock","586550","Tie"
"rock","4808479","rock","594698","Tie"
"rock","5589861","rock","605953","Tie"
"rock","5249075","rock","645770","Tie"
"rock","5279774","rock","620893","Tie"
"rock","6895939","rock","1308192","Tie"
"rock","6573627","rock","589030","Tie"
"rock","4106491","rock","614178","Tie"
"rock","6170876","rock","615352","Tie"
"rock","5285681","rock","642094","Tie"
"rock","5258134","rock","620880","Tie"
"rock","5272659","rock","626899","Tie"
"rock","5276859","rock","604809","Tie"
"rock","5271233","rock","616137","Tie"
"rock","5278152","rock","670030","Tie"
"rock","5379438","rock","605625","Tie"
"rock","5152688","rock","609342","Tie"
"rock","5262070","rock","623620","Tie"
"rock","5269818","rock","626053","Tie"
"rock","3266692","rock","601721","Tie"
"rock","7275146","rock","695211","Tie"
"rock","5271294","rock","605554","Tie"
"rock","5549789","rock","641786","Tie"
"rock","5162618","rock","631793","Tie"
"rock","5519480","rock","720945","Tie"
"rock","7237649","rock","1512382","Tie"
"rock","6921708","rock","675346","Tie"
"rock","5154790","rock","615269","Tie"
"rock","5306157","rock","616604","Tie"
"rock","5170629","rock","625248","Tie"
"rock","5298835","rock","575379","Tie"
"rock","4651167","rock","573087","Tie"
"rock","5880034","rock","680212","Tie"
"rock","5248303","rock","578139","Tie"
"rock","6644418","rock","569193","Tie"
"rock","13756492","rock","630424","Tie"
"rock","6437277","rock","625862","Tie"
"rock","5449731","rock","637923","Tie"
"rock","5128782","rock","631948","Tie"
"rock","3709027","rock","691985","Tie"
"rock","5322863","rock","613074","Tie"
"rock","5141141","rock","629609","Tie"
"rock","5279783","rock","612678","Tie"
"rock","4123827","rock","610850","Tie"
"rock","6415302","rock","685980","Tie"
"rock","5267429","rock","609069","Tie"
"rock","5279552","rock","631892","Tie"
"rock","5240243","rock","758175","Tie"
"rock","5297950","rock","574117","Tie"
"rock","5269814","rock","677804","Tie"
"rock","5278282","rock","657422","Tie"
"rock","5233345","rock","573860","Tie"
"rock","5507185","rock","579993","Tie"
"rock","4329732","rock","589623","Tie"
"rock","6254870","rock","593918","Tie"
"rock","5275518","rock","631634","Tie"
"rock","4987491","rock","665460","Tie"
"rock","5482633","rock","793526","Tie"
"rock","5202906","rock","604793","Tie"
"rock","5319881","rock","614491","Tie"
"rock","5443248","rock","687772","Tie"
"rock","5222030","rock","614517","Tie"
"rock","3585815","rock","759324","Tie"
"rock","6918721","rock","631203","Tie"
"rock","5275709","rock","612228","Tie"
"rock","9256192","rock","607347","Tie"
"rock","10172223","rock","709218","Tie"
"rock","4284523","rock","591408","Tie"
"rock","5198560","rock","679830","Tie"
"rock","5271886","rock","684459","Tie"
"rock","4995844","rock","643576","Tie"
"rock","5084323","rock","651560","Tie"
