"Avalanch","pigeon_milk","The winner is pigeon_milk"
"0","999","1"
"rock","12997381","rock","2855440","Tie"
"rock","14701757","paper","2184736","pigeon_milk won"
"rock","8720414","paper","4433169","pigeon_milk won"
"rock","11731123","paper","1679921","pigeon_milk won"
"rock","11562028","paper","3980013","pigeon_milk won"
"rock","10421776","paper","2626762","pigeon_milk won"
"rock","9433448","paper","3136415","pigeon_milk won"
"rock","8440482","paper","2922305","pigeon_milk won"
"rock","8255154","paper","2968410","pigeon_milk won"
"rock","4757147","paper","4443293","pigeon_milk won"
"rock","3705919","paper","854900","pigeon_milk won"
"rock","8216264","paper","5465312","pigeon_milk won"
"rock","7642003","paper","3996534","pigeon_milk won"
"rock","14732922","paper","4065670","pigeon_milk won"
"rock","7292873","paper","3642524","pigeon_milk won"
"rock","6857272","paper","3413242","pigeon_milk won"
"rock","5498744","paper","4204590","pigeon_milk won"
"rock","8270468","paper","3481321","pigeon_milk won"
"rock","4400482","paper","898581","pigeon_milk won"
"rock","10584679","paper","949449","pigeon_milk won"
"rock","8190217","paper","3497143","pigeon_milk won"
"rock","8499336","paper","4948302","pigeon_milk won"
"rock","7662672","paper","4056609","pigeon_milk won"
"rock","6147485","paper","5833718","pigeon_milk won"
"rock","4472748","paper","842413","pigeon_milk won"
"rock","3805297","paper","897848","pigeon_milk won"
"rock","7537559","paper","5419801","pigeon_milk won"
"rock","3488041","paper","888212","pigeon_milk won"
"rock","10836378","paper","836715","pigeon_milk won"
"rock","8695192","paper","2616631","pigeon_milk won"
"rock","12283272","paper","4198597","pigeon_milk won"
"rock","6466310","paper","4393198","pigeon_milk won"
"rock","4120671","paper","867371","pigeon_milk won"
"rock","6487592","paper","895017","pigeon_milk won"
"rock","4763555","paper","897928","pigeon_milk won"
"rock","5322586","paper","853042","pigeon_milk won"
"rock","5264841","paper","936334","pigeon_milk won"
"rock","5049472","paper","896602","pigeon_milk won"
"rock","5146000","paper","908634","pigeon_milk won"
"rock","5229950","paper","905158","pigeon_milk won"
"rock","5031758","paper","917624","pigeon_milk won"
"rock","5142860","paper","920193","pigeon_milk won"
"rock","5073855","paper","920287","pigeon_milk won"
"rock","5131124","paper","1052447","pigeon_milk won"
"rock","5155752","paper","913382","pigeon_milk won"
"rock","4308967","paper","896733","pigeon_milk won"
"rock","17916689","paper","976311","pigeon_milk won"
"rock","3928185","paper","945686","pigeon_milk won"
"rock","5510805","paper","969153","pigeon_milk won"
"rock","3567048","paper","972523","pigeon_milk won"
"rock","6266454","paper","928155","pigeon_milk won"
"rock","5017669","paper","6006730","pigeon_milk won"
"rock","4304183","paper","943196","pigeon_milk won"
"rock","5066283","paper","970278","pigeon_milk won"
"rock","5125510","paper","993583","pigeon_milk won"
"rock","7996999","paper","1729403","pigeon_milk won"
"rock","3979368","paper","962334","pigeon_milk won"
"rock","5109197","paper","1043889","pigeon_milk won"
"rock","5099782","paper","1089920","pigeon_milk won"
"rock","5071289","paper","1013222","pigeon_milk won"
"rock","5134653","paper","1020094","pigeon_milk won"
"rock","4933027","paper","1168866","pigeon_milk won"
"rock","5075202","paper","1061637","pigeon_milk won"
"rock","9128608","paper","1071747","pigeon_milk won"
"rock","5056994","paper","1041256","pigeon_milk won"
"rock","5100606","paper","1058705","pigeon_milk won"
"rock","5061061","paper","1066238","pigeon_milk won"
"rock","5215388","paper","1080268","pigeon_milk won"
"rock","4967977","paper","1063487","pigeon_milk won"
"rock","9119971","paper","1110063","pigeon_milk won"
"rock","5023594","paper","1094846","pigeon_milk won"
"rock","5094524","paper","1079118","pigeon_milk won"
"rock","5092288","paper","1088010","pigeon_milk won"
"rock","5115109","paper","1090383","pigeon_milk won"
"rock","5052009","paper","1126363","pigeon_milk won"
"rock","5110463","paper","1093073","pigeon_milk won"
"rock","12417866","paper","1117597","pigeon_milk won"
"rock","4509815","paper","1109334","pigeon_milk won"
"rock","5052459","paper","1134160","pigeon_milk won"
"rock","5073448","paper","1564125","pigeon_milk won"
"rock","4968188","paper","1137516","pigeon_milk won"
"rock","5068568","paper","1184500","pigeon_milk won"
"rock","5026208","paper","1179614","pigeon_milk won"
"rock","5057001","paper","1179528","pigeon_milk won"
"rock","5055471","paper","1165622","pigeon_milk won"
"rock","5062912","paper","1169774","pigeon_milk won"
"rock","5047668","paper","1249836","pigeon_milk won"
"rock","4808973","paper","1404095","pigeon_milk won"
"rock","5034782","paper","1193011","pigeon_milk won"
"rock","5037733","paper","1193754","pigeon_milk won"
"rock","3942924","paper","1304480","pigeon_milk won"
"rock","9319145","paper","1176750","pigeon_milk won"
"rock","5756931","paper","1204606","pigeon_milk won"
"rock","4721275","paper","1282058","pigeon_milk won"
"rock","5034075","paper","1241921","pigeon_milk won"
"rock","6458042","paper","1235273","pigeon_milk won"
"rock","7361562","paper","1210945","pigeon_milk won"
"rock","5042051","paper","1249302","pigeon_milk won"
"rock","5046770","paper","1388457","pigeon_milk won"
"rock","5018366","paper","1296050","pigeon_milk won"
"rock","5015767","paper","1278198","pigeon_milk won"
"rock","4876422","paper","1277234","pigeon_milk won"
"rock","4259189","paper","1362096","pigeon_milk won"
"rock","5746050","paper","1213965","pigeon_milk won"
"rock","5025825","paper","1254729","pigeon_milk won"
"rock","5021006","paper","1266881","pigeon_milk won"
"rock","4948954","paper","1282141","pigeon_milk won"
"rock","5800131","paper","1386003","pigeon_milk won"
"rock","7343421","paper","1234136","pigeon_milk won"
"rock","5564877","paper","1216840","pigeon_milk won"
"rock","5817283","paper","1941738","pigeon_milk won"
"rock","5562936","paper","1603360","pigeon_milk won"
"rock","7481589","paper","1221268","pigeon_milk won"
"rock","4988597","paper","1275397","pigeon_milk won"
"rock","4614943","paper","1354559","pigeon_milk won"
"rock","5402972","paper","1245793","pigeon_milk won"
"rock","5006797","paper","1818746","pigeon_milk won"
"rock","5041405","paper","1366935","pigeon_milk won"
"rock","4941743","paper","1529726","pigeon_milk won"
"rock","4958009","paper","1302319","pigeon_milk won"
"rock","4999085","paper","1247190","pigeon_milk won"
"rock","3898100","paper","1278270","pigeon_milk won"
"rock","4738162","paper","1220716","pigeon_milk won"
"rock","6593868","paper","1233377","pigeon_milk won"
"rock","4691826","paper","1299169","pigeon_milk won"
"rock","4969992","paper","1268376","pigeon_milk won"
"rock","4938016","paper","1253726","pigeon_milk won"
"rock","5023592","paper","1265775","pigeon_milk won"
"rock","5826169","paper","1613912","pigeon_milk won"
"rock","7667155","paper","1272650","pigeon_milk won"
"rock","5271119","paper","1294564","pigeon_milk won"
"rock","5013443","paper","1291527","pigeon_milk won"
"rock","4944062","paper","1259334","pigeon_milk won"
"rock","5031886","paper","1268670","pigeon_milk won"
"rock","4997703","paper","1267328","pigeon_milk won"
"rock","5012483","paper","1269421","pigeon_milk won"
"rock","5570368","paper","1448039","pigeon_milk won"
"rock","15109356","paper","3810805","pigeon_milk won"
"rock","6233041","paper","1211607","pigeon_milk won"
"rock","4952141","paper","1404659","pigeon_milk won"
"rock","5019024","paper","1294904","pigeon_milk won"
"rock","5011062","paper","1295280","pigeon_milk won"
"rock","8992279","paper","1284073","pigeon_milk won"
"rock","4988755","paper","1289679","pigeon_milk won"
"rock","5013501","paper","1357644","pigeon_milk won"
"rock","6336381","paper","1408526","pigeon_milk won"
"rock","3995681","paper","1349343","pigeon_milk won"
"rock","4538343","paper","1285274","pigeon_milk won"
"rock","8999753","paper","1766003","pigeon_milk won"
"rock","5011138","paper","1283859","pigeon_milk won"
"rock","4056510","paper","1249972","pigeon_milk won"
"rock","4219956","paper","1397412","pigeon_milk won"
"rock","5025958","paper","1305844","pigeon_milk won"
"rock","4988526","paper","1331041","pigeon_milk won"
"rock","4475011","paper","1365444","pigeon_milk won"
"rock","4054263","paper","1237037","pigeon_milk won"
"rock","6283093","paper","1204148","pigeon_milk won"
"rock","4992152","paper","1251400","pigeon_milk won"
"rock","4888285","paper","1247957","pigeon_milk won"
"rock","4870968","paper","1484555","pigeon_milk won"
"rock","4993631","paper","1268950","pigeon_milk won"
"rock","4994701","paper","1293813","pigeon_milk won"
"rock","5013031","paper","1273746","pigeon_milk won"
"rock","5009856","paper","1267737","pigeon_milk won"
"rock","6290902","paper","1366022","pigeon_milk won"
"rock","3808994","paper","1247293","pigeon_milk won"
"rock","6751534","paper","5908354","pigeon_milk won"
"rock","11354577","paper","1362501","pigeon_milk won"
"rock","5869242","paper","1245955","pigeon_milk won"
"rock","8544417","paper","1467369","pigeon_milk won"
"rock","5303563","paper","1305389","pigeon_milk won"
"rock","3922147","paper","1317676","pigeon_milk won"
"rock","5626021","paper","1363472","pigeon_milk won"
"rock","4669990","paper","1304996","pigeon_milk won"
"rock","4781245","paper","1389233","pigeon_milk won"
"rock","8735183","paper","1395374","pigeon_milk won"
"rock","4755925","paper","1295363","pigeon_milk won"
"rock","4276914","paper","1321211","pigeon_milk won"
"rock","5234821","paper","1342662","pigeon_milk won"
"rock","4754183","paper","1338199","pigeon_milk won"
"rock","5670508","paper","1388846","pigeon_milk won"
"rock","7819698","paper","1380584","pigeon_milk won"
"rock","4766081","paper","1302341","pigeon_milk won"
"rock","4471305","paper","1347538","pigeon_milk won"
"rock","5071537","paper","1340104","pigeon_milk won"
"rock","4769513","paper","1369624","pigeon_milk won"
"rock","4761437","paper","1391315","pigeon_milk won"
"rock","8780861","paper","1419727","pigeon_milk won"
"rock","4750867","paper","1326203","pigeon_milk won"
"rock","4657258","paper","1346867","pigeon_milk won"
"rock","5294457","paper","1294676","pigeon_milk won"
"rock","5104799","paper","1476700","pigeon_milk won"
"rock","4731699","paper","1411040","pigeon_milk won"
"rock","8807083","paper","1396042","pigeon_milk won"
"rock","5097227","paper","1291791","pigeon_milk won"
"rock","6146532","paper","1320696","pigeon_milk won"
"rock","15753391","paper","1270656","pigeon_milk won"
"rock","4694202","paper","1306310","pigeon_milk won"
"rock","4644742","paper","1273214","pigeon_milk won"
"rock","4656551","paper","1369648","pigeon_milk won"
"rock","4802230","paper","1447692","pigeon_milk won"
"rock","4746130","paper","1300520","pigeon_milk won"
"rock","4816684","paper","1296322","pigeon_milk won"
"rock","4781519","paper","1424158","pigeon_milk won"
"rock","4779362","paper","1308977","pigeon_milk won"
"rock","4790693","paper","1292825","pigeon_milk won"
"rock","4750513","paper","1546377","pigeon_milk won"
"rock","5185021","paper","1339522","pigeon_milk won"
"rock","4923087","paper","1276404","pigeon_milk won"
"rock","5064411","paper","1283934","pigeon_milk won"
"rock","3623272","paper","1305268","pigeon_milk won"
"rock","6746617","paper","2785929","pigeon_milk won"
"rock","4527709","paper","1278297","pigeon_milk won"
"rock","5405347","paper","1333509","pigeon_milk won"
"rock","9102390","paper","1243824","pigeon_milk won"
"rock","8078678","paper","1265433","pigeon_milk won"
"rock","5206798","paper","1303879","pigeon_milk won"
"rock","4924170","paper","1311065","pigeon_milk won"
"rock","5006447","paper","1314901","pigeon_milk won"
"rock","4989200","paper","1273551","pigeon_milk won"
"rock","4974777","paper","1279018","pigeon_milk won"
"rock","5041962","paper","1280926","pigeon_milk won"
"rock","4186600","paper","1448735","pigeon_milk won"
"rock","5761245","paper","1245084","pigeon_milk won"
"rock","8991924","paper","1320567","pigeon_milk won"
"rock","4953006","paper","1280043","pigeon_milk won"
"rock","12403140","paper","1292498","pigeon_milk won"
"rock","4270313","paper","1248027","pigeon_milk won"
"rock","4898523","paper","1282738","pigeon_milk won"
"rock","5705409","paper","1279907","pigeon_milk won"
"rock","7420669","paper","1302671","pigeon_milk won"
"rock","5003659","paper","1265407","pigeon_milk won"
"rock","5019631","paper","1262050","pigeon_milk won"
"rock","4923037","paper","1265675","pigeon_milk won"
"rock","4896471","paper","1366329","pigeon_milk won"
"rock","4857879","paper","1364397","pigeon_milk won"
"rock","4974755","paper","1310472","pigeon_milk won"
"rock","5250099","paper","1288468","pigeon_milk won"
"rock","4736483","paper","1278556","pigeon_milk won"
"rock","4998149","paper","1285490","pigeon_milk won"
"rock","5017491","paper","1332948","pigeon_milk won"
"rock","4950916","paper","1302632","pigeon_milk won"
"rock","4993074","paper","1309951","pigeon_milk won"
"rock","8978752","paper","1274430","pigeon_milk won"
"rock","5013885","paper","1288725","pigeon_milk won"
"rock","6335150","paper","1275573","pigeon_milk won"
"rock","7522616","paper","1253829","pigeon_milk won"
"rock","4889537","paper","1292517","pigeon_milk won"
"rock","5004245","paper","1308801","pigeon_milk won"
"rock","9092951","paper","1443008","pigeon_milk won"
"rock","6873961","paper","3553710","pigeon_milk won"
"rock","4908037","paper","1274843","pigeon_milk won"
"rock","8943038","paper","1381971","pigeon_milk won"
"rock","4992171","paper","1306139","pigeon_milk won"
"rock","8974016","paper","1264081","pigeon_milk won"
"rock","15746939","paper","3876451","pigeon_milk won"
"rock","6237390","paper","1235233","pigeon_milk won"
"rock","5083457","paper","1303751","pigeon_milk won"
"rock","4749995","paper","1295955","pigeon_milk won"
"rock","5157938","paper","1271244","pigeon_milk won"
"rock","4760874","paper","2280917","pigeon_milk won"
"rock","5381661","paper","1367283","pigeon_milk won"
"rock","4971159","paper","1249917","pigeon_milk won"
"rock","5272089","paper","1822519","pigeon_milk won"
"rock","5827844","paper","1272661","pigeon_milk won"
"rock","4492869","paper","1219050","pigeon_milk won"
"rock","4957277","paper","1240986","pigeon_milk won"
"rock","5093974","paper","1251164","pigeon_milk won"
"rock","4932051","paper","1246354","pigeon_milk won"
"rock","4921172","paper","1270459","pigeon_milk won"
"rock","4981371","paper","1466711","pigeon_milk won"
"rock","4671337","paper","1340386","pigeon_milk won"
"rock","5000802","paper","1276535","pigeon_milk won"
"rock","5034081","paper","1285733","pigeon_milk won"
"rock","5266727","paper","1269231","pigeon_milk won"
"rock","5172644","paper","1264117","pigeon_milk won"
"rock","4977098","paper","1295017","pigeon_milk won"
"rock","4982602","paper","1364969","pigeon_milk won"
"rock","3812828","paper","1278400","pigeon_milk won"
"rock","6411128","paper","1233892","pigeon_milk won"
"rock","3643417","paper","1276170","pigeon_milk won"
"rock","6395233","paper","1242591","pigeon_milk won"
"rock","8948111","paper","1266345","pigeon_milk won"
"rock","5054285","paper","1314184","pigeon_milk won"
"rock","4231700","paper","1320223","pigeon_milk won"
"rock","14053541","paper","1235960","pigeon_milk won"
"rock","7579975","paper","1240041","pigeon_milk won"
"rock","7658434","paper","1272748","pigeon_milk won"
"rock","6540137","paper","1385162","pigeon_milk won"
"rock","4847778","paper","1279771","pigeon_milk won"
"rock","5244925","paper","1371155","pigeon_milk won"
"rock","4938730","paper","1361674","pigeon_milk won"
"rock","5026112","paper","1249254","pigeon_milk won"
"rock","5016167","paper","1249008","pigeon_milk won"
"rock","5080188","paper","1495792","pigeon_milk won"
"rock","6276987","paper","1278573","pigeon_milk won"
"rock","7550310","paper","1243664","pigeon_milk won"
"rock","4955146","paper","1366008","pigeon_milk won"
"rock","4243535","paper","1248269","pigeon_milk won"
"rock","5886858","paper","1241087","pigeon_milk won"
"rock","5003318","paper","1296701","pigeon_milk won"
"rock","5236662","paper","1272117","pigeon_milk won"
"rock","4930991","paper","1290911","pigeon_milk won"
"rock","5126433","paper","1249012","pigeon_milk won"
"rock","4868845","paper","1252000","pigeon_milk won"
"rock","4909323","paper","1255082","pigeon_milk won"
"rock","8908543","paper","1353649","pigeon_milk won"
"rock","5206663","paper","1377790","pigeon_milk won"
"rock","4950718","paper","1255840","pigeon_milk won"
"rock","5098290","paper","1250785","pigeon_milk won"
"rock","4898295","paper","1251256","pigeon_milk won"
"rock","4928211","paper","1257575","pigeon_milk won"
"rock","9310349","paper","1269048","pigeon_milk won"
"rock","4945426","paper","1373874","pigeon_milk won"
"rock","5002822","paper","1260363","pigeon_milk won"
"rock","11321283","paper","1352860","pigeon_milk won"
"rock","6100827","paper","1236226","pigeon_milk won"
"rock","4918241","paper","1273403","pigeon_milk won"
"rock","5120095","paper","1306410","pigeon_milk won"
