"BeatLast","HaiCat","The winner is BeatLast"
"999","1","0"
"scissors","13754626","rock","14354906","HaiCat won"
"paper","8190655","rock","7633860","BeatLast won"
"paper","13422862","rock","13895212","BeatLast won"
"paper","19066678","rock","19538232","BeatLast won"
"paper","8819913","rock","9290127","BeatLast won"
"paper","10195131","rock","10250027","BeatLast won"
"paper","8368770","rock","8845780","BeatLast won"
"paper","10956245","rock","11543974","BeatLast won"
"paper","8263822","rock","8740247","BeatLast won"
"paper","9752711","rock","10220089","BeatLast won"
"paper","11338128","rock","11816084","BeatLast won"
"paper","6998948","rock","6536305","BeatLast won"
"paper","5675904","rock","5406586","BeatLast won"
"paper","4756706","rock","4810135","BeatLast won"
"paper","5148219","rock","5197763","BeatLast won"
"paper","4864626","rock","4658565","BeatLast won"
"paper","11884704","rock","12157952","BeatLast won"
"paper","4601494","rock","5053522","BeatLast won"
"paper","9038643","rock","9091510","BeatLast won"
"paper","5091029","rock","5141736","BeatLast won"
"paper","5188236","rock","5239572","BeatLast won"
"paper","4564194","rock","5020532","BeatLast won"
"paper","4539528","rock","4984913","BeatLast won"
"paper","4586558","rock","5027296","BeatLast won"
"paper","3306602","rock","3757979","BeatLast won"
"paper","5879140","rock","6320783","BeatLast won"
"paper","5198970","rock","5253180","BeatLast won"
"paper","4571524","rock","5029899","BeatLast won"
"paper","4410046","rock","4854009","BeatLast won"
"paper","5184921","rock","5237392","BeatLast won"
"paper","4588227","rock","5028757","BeatLast won"
"paper","4540329","rock","4985462","BeatLast won"
"paper","4559685","rock","5001563","BeatLast won"
"paper","4602589","rock","5053707","BeatLast won"
"paper","8598639","rock","9062989","BeatLast won"
"paper","4485330","rock","4925886","BeatLast won"
"paper","5263567","rock","5708886","BeatLast won"
"paper","6590891","rock","7036917","BeatLast won"
"paper","4479794","rock","4922173","BeatLast won"
"paper","4576282","rock","5026277","BeatLast won"
"paper","4549452","rock","4990355","BeatLast won"
"paper","4577078","rock","5022193","BeatLast won"
"paper","3968271","rock","4446703","BeatLast won"
"paper","5135221","rock","5575790","BeatLast won"
"paper","4581129","rock","5023086","BeatLast won"
"paper","4579199","rock","5020368","BeatLast won"
"paper","17080853","rock","16120276","BeatLast won"
"paper","3592912","rock","4010684","BeatLast won"
"paper","3971681","rock","4460143","BeatLast won"
"paper","5148854","rock","5568611","BeatLast won"
"paper","4643439","rock","5088060","BeatLast won"
"paper","4869345","rock","5160748","BeatLast won"
