"JesseThoughtOfMyTeamAndClientNames","HaiCat","The winner is JesseThoughtOfMyTeamAndClientNames"
"997","2","1"
"rock","14537209","rock","15315349","Tie"
"scissors","7888879","rock","8409939","HaiCat won"
"scissors","12562436","rock","12617411","HaiCat won"
"paper","17262410","rock","17751699","JesseThoughtOfMyTeamAndClientNames won"
"paper","8230657","rock","8706033","JesseThoughtOfMyTeamAndClientNames won"
"paper","16024640","rock","16097557","JesseThoughtOfMyTeamAndClientNames won"
"paper","7004278","rock","6738822","JesseThoughtOfMyTeamAndClientNames won"
"paper","7761107","rock","8206953","JesseThoughtOfMyTeamAndClientNames won"
"paper","8693989","rock","8423435","JesseThoughtOfMyTeamAndClientNames won"
"paper","8924071","rock","9404596","JesseThoughtOfMyTeamAndClientNames won"
"paper","11438167","rock","11904396","JesseThoughtOfMyTeamAndClientNames won"
"paper","16146190","rock","16615979","JesseThoughtOfMyTeamAndClientNames won"
"paper","8843428","rock","9312537","JesseThoughtOfMyTeamAndClientNames won"
"paper","9465381","rock","10055151","JesseThoughtOfMyTeamAndClientNames won"
"paper","11309614","rock","11781825","JesseThoughtOfMyTeamAndClientNames won"
"paper","4621783","rock","4154136","JesseThoughtOfMyTeamAndClientNames won"
"paper","8266172","rock","8769743","JesseThoughtOfMyTeamAndClientNames won"
"paper","10226738","rock","10708211","JesseThoughtOfMyTeamAndClientNames won"
"paper","8673257","rock","9140379","JesseThoughtOfMyTeamAndClientNames won"
"paper","4102968","rock","4536387","JesseThoughtOfMyTeamAndClientNames won"
"paper","9110071","rock","9123111","JesseThoughtOfMyTeamAndClientNames won"
"paper","10059067","rock","10007085","JesseThoughtOfMyTeamAndClientNames won"
"paper","10643733","rock","11144178","JesseThoughtOfMyTeamAndClientNames won"
"paper","6236846","rock","5779208","JesseThoughtOfMyTeamAndClientNames won"
"paper","5784873","rock","5523016","JesseThoughtOfMyTeamAndClientNames won"
"paper","12278287","rock","12748875","JesseThoughtOfMyTeamAndClientNames won"
"paper","5192389","rock","4928347","JesseThoughtOfMyTeamAndClientNames won"
"paper","4226966","rock","4679817","JesseThoughtOfMyTeamAndClientNames won"
"paper","4543873","rock","4985352","JesseThoughtOfMyTeamAndClientNames won"
"paper","4812921","rock","4542197","JesseThoughtOfMyTeamAndClientNames won"
"paper","4654171","rock","5110586","JesseThoughtOfMyTeamAndClientNames won"
"paper","4560895","rock","5000696","JesseThoughtOfMyTeamAndClientNames won"
"paper","3175132","rock","7887281","JesseThoughtOfMyTeamAndClientNames won"
"paper","5977267","rock","5709003","JesseThoughtOfMyTeamAndClientNames won"
"paper","4614091","rock","5055157","JesseThoughtOfMyTeamAndClientNames won"
"paper","4574698","rock","5028586","JesseThoughtOfMyTeamAndClientNames won"
"paper","4556467","rock","4996440","JesseThoughtOfMyTeamAndClientNames won"
"paper","11244665","rock","10697006","JesseThoughtOfMyTeamAndClientNames won"
"paper","4363278","rock","4417732","JesseThoughtOfMyTeamAndClientNames won"
"paper","5794021","rock","5846203","JesseThoughtOfMyTeamAndClientNames won"
"paper","8620879","rock","9086291","JesseThoughtOfMyTeamAndClientNames won"
"paper","4533662","rock","4976966","JesseThoughtOfMyTeamAndClientNames won"
"paper","4574391","rock","5014169","JesseThoughtOfMyTeamAndClientNames won"
"paper","4575346","rock","5015802","JesseThoughtOfMyTeamAndClientNames won"
"paper","4087597","rock","4563363","JesseThoughtOfMyTeamAndClientNames won"
"paper","9439410","rock","9383236","JesseThoughtOfMyTeamAndClientNames won"
"paper","9015096","rock","9075120","JesseThoughtOfMyTeamAndClientNames won"
"paper","4819544","rock","5235040","JesseThoughtOfMyTeamAndClientNames won"
"paper","3140301","rock","8656327","JesseThoughtOfMyTeamAndClientNames won"
"paper","3919482","rock","4352153","JesseThoughtOfMyTeamAndClientNames won"
"paper","4285376","rock","4728392","JesseThoughtOfMyTeamAndClientNames won"
"paper","4576859","rock","5020607","JesseThoughtOfMyTeamAndClientNames won"
"paper","4590355","rock","5036216","JesseThoughtOfMyTeamAndClientNames won"
"paper","4574066","rock","5011340","JesseThoughtOfMyTeamAndClientNames won"
"paper","5261135","rock","5314526","JesseThoughtOfMyTeamAndClientNames won"
"paper","3741223","rock","4181702","JesseThoughtOfMyTeamAndClientNames won"
"paper","5215804","rock","5680186","JesseThoughtOfMyTeamAndClientNames won"
"paper","4394964","rock","4852905","JesseThoughtOfMyTeamAndClientNames won"
"paper","4548895","rock","5057435","JesseThoughtOfMyTeamAndClientNames won"
"paper","4445402","rock","4882326","JesseThoughtOfMyTeamAndClientNames won"
"paper","3444208","rock","3879320","JesseThoughtOfMyTeamAndClientNames won"
"paper","5690603","rock","6122989","JesseThoughtOfMyTeamAndClientNames won"
"paper","4632835","rock","5318442","JesseThoughtOfMyTeamAndClientNames won"
"paper","4249743","rock","4682474","JesseThoughtOfMyTeamAndClientNames won"
"paper","4445148","rock","4884577","JesseThoughtOfMyTeamAndClientNames won"
"paper","4581939","rock","5028067","JesseThoughtOfMyTeamAndClientNames won"
"paper","4587457","rock","5026359","JesseThoughtOfMyTeamAndClientNames won"
"paper","6084233","rock","6071103","JesseThoughtOfMyTeamAndClientNames won"
"paper","3711094","rock","4198786","JesseThoughtOfMyTeamAndClientNames won"
"paper","4185785","rock","4627145","JesseThoughtOfMyTeamAndClientNames won"
"paper","5170505","rock","5224959","JesseThoughtOfMyTeamAndClientNames won"
"paper","4642713","rock","5084086","JesseThoughtOfMyTeamAndClientNames won"
"paper","4522583","rock","4958606","JesseThoughtOfMyTeamAndClientNames won"
"paper","4601216","rock","5036950","JesseThoughtOfMyTeamAndClientNames won"
"paper","4615145","rock","5053966","JesseThoughtOfMyTeamAndClientNames won"
"paper","4694365","rock","5145634","JesseThoughtOfMyTeamAndClientNames won"
"paper","4458055","rock","4905648","JesseThoughtOfMyTeamAndClientNames won"
"paper","4581883","rock","5023687","JesseThoughtOfMyTeamAndClientNames won"
"paper","4580316","rock","5481845","JesseThoughtOfMyTeamAndClientNames won"
"paper","4516727","rock","4239083","JesseThoughtOfMyTeamAndClientNames won"
"paper","4513559","rock","5072380","JesseThoughtOfMyTeamAndClientNames won"
"paper","4376719","rock","4812582","JesseThoughtOfMyTeamAndClientNames won"
"paper","4219464","rock","4669124","JesseThoughtOfMyTeamAndClientNames won"
"paper","4619715","rock","5061519","JesseThoughtOfMyTeamAndClientNames won"
