"HaiCat","Poop","The winner is Poop"
"0","999","1"
"rock","15407390","rock","16671154","Tie"
"rock","8079150","paper","8664083","Poop won"
"rock","8553412","paper","9032269","Poop won"
"rock","13501189","paper","14014919","Poop won"
"rock","8886360","paper","9389361","Poop won"
"rock","12396765","paper","12893051","Poop won"
"rock","7867543","paper","7928503","Poop won"
"rock","7935625","paper","8473210","Poop won"
"rock","12345583","paper","12839008","Poop won"
"rock","11038061","paper","11559497","Poop won"
"rock","9429431","paper","9952289","Poop won"
"rock","6167036","paper","6708347","Poop won"
"rock","10890372","paper","11381330","Poop won"
"rock","10573600","paper","11063593","Poop won"
"rock","9317827","paper","9857749","Poop won"
"rock","6952383","paper","7422138","Poop won"
"rock","9705260","paper","10356637","Poop won"
"rock","11583459","paper","12089315","Poop won"
"rock","8564466","paper","9050829","Poop won"
"rock","9144907","paper","9158829","Poop won"
"rock","11209332","paper","11223449","Poop won"
"rock","6755710","paper","7250252","Poop won"
"rock","7657378","paper","8153990","Poop won"
"rock","9964741","paper","10484360","Poop won"
"rock","12637447","paper","12018691","Poop won"
"rock","9467226","paper","9952006","Poop won"
"rock","8010324","paper","8505908","Poop won"
"rock","7886585","paper","8396521","Poop won"
"rock","5692132","paper","6190216","Poop won"
"rock","11146552","paper","11623837","Poop won"
"rock","8840426","paper","9387523","Poop won"
"rock","12762842","paper","13253531","Poop won"
"rock","8203560","paper","8687603","Poop won"
"rock","8391544","paper","8915505","Poop won"
"rock","8234570","paper","8743701","Poop won"
"rock","8096522","paper","8580684","Poop won"
"rock","8333458","paper","8818472","Poop won"
"rock","8466144","paper","9012551","Poop won"
"rock","7945059","paper","8439820","Poop won"
"rock","8824758","paper","9310744","Poop won"
"rock","9100342","paper","9113598","Poop won"
"rock","8279043","paper","8778681","Poop won"
"rock","4715228","paper","5205887","Poop won"
"rock","11537983","paper","12025255","Poop won"
"rock","11051994","paper","11552737","Poop won"
"rock","13430205","paper","17566782","Poop won"
"rock","14061551","paper","14004399","Poop won"
"rock","8500466","paper","8950845","Poop won"
"rock","8507071","paper","9005141","Poop won"
"rock","13255916","paper","13744034","Poop won"
"rock","7285446","paper","7806114","Poop won"
"rock","8887489","paper","9423470","Poop won"
"rock","12184366","paper","11527477","Poop won"
"rock","8871049","paper","9360060","Poop won"
"rock","11692035","paper","11707451","Poop won"
"rock","12922195","paper","13454028","Poop won"
"rock","7343034","paper","7830756","Poop won"
"rock","13494302","paper","14017349","Poop won"
"rock","12084056","paper","12583926","Poop won"
"rock","9354221","paper","9833202","Poop won"
"rock","11655095","paper","12187069","Poop won"
"rock","13968300","paper","14028808","Poop won"
"rock","11707702","paper","12193185","Poop won"
"rock","9856515","paper","10381398","Poop won"
"rock","8059404","paper","8637863","Poop won"
"rock","11798388","paper","11812003","Poop won"
"rock","8676932","paper","9204567","Poop won"
"rock","9008021","paper","9021723","Poop won"
"rock","6419018","paper","6433030","Poop won"
"rock","10992340","paper","11478143","Poop won"
"rock","10341894","paper","10899501","Poop won"
"rock","9248253","paper","9747036","Poop won"
"rock","10448017","paper","10933423","Poop won"
"rock","10017995","paper","10566347","Poop won"
"rock","12035134","paper","15627330","Poop won"
"rock","9058849","paper","9545893","Poop won"
"rock","8513938","paper","9049864","Poop won"
"rock","13465722","paper","13963471","Poop won"
"rock","8527187","paper","12144488","Poop won"
"rock","14616569","paper","14725224","Poop won"
"rock","13805744","paper","14308402","Poop won"
"rock","15162287","paper","15238405","Poop won"
"rock","10557288","paper","10623237","Poop won"
"rock","8533898","paper","9023859","Poop won"
"rock","7665425","paper","8159042","Poop won"
"rock","12238794","paper","12779827","Poop won"
"rock","9161811","paper","9651855","Poop won"
"rock","15984798","paper","16055424","Poop won"
"rock","9351742","paper","9822397","Poop won"
"rock","11358632","paper","11882948","Poop won"
"rock","12304092","paper","12801190","Poop won"
"rock","9325930","paper","9422032","Poop won"
"rock","8732116","paper","9269752","Poop won"
"rock","15728323","paper","16227055","Poop won"
"rock","8706174","paper","10818283","Poop won"
"rock","13108294","paper","13173669","Poop won"
"rock","13731464","paper","14251427","Poop won"
"rock","7960056","paper","8625398","Poop won"
"rock","9288279","paper","9301711","Poop won"
"rock","9487573","paper","9501367","Poop won"
"rock","6811390","paper","7298578","Poop won"
"rock","9969755","paper","10451305","Poop won"
"rock","7850747","paper","8358832","Poop won"
"rock","9818086","paper","9831970","Poop won"
"rock","7977378","paper","11746830","Poop won"
"rock","9443335","paper","9930295","Poop won"
"rock","12210991","paper","12759889","Poop won"
"rock","9062129","paper","9551658","Poop won"
"rock","7928097","paper","8432750","Poop won"
"rock","9231001","paper","9727962","Poop won"
"rock","10013385","paper","12451683","Poop won"
"rock","10039661","paper","10529538","Poop won"
"rock","11033061","paper","11533734","Poop won"
"rock","11654726","paper","12155866","Poop won"
"rock","7056872","paper","9333864","Poop won"
"rock","9589512","paper","10123460","Poop won"
"rock","12544486","paper","13047395","Poop won"
"rock","9691006","paper","10181695","Poop won"
"rock","11812813","paper","12346309","Poop won"
"rock","5945517","paper","6428317","Poop won"
"rock","9481676","paper","9966095","Poop won"
"rock","8428425","paper","8968316","Poop won"
"rock","13225730","paper","13719118","Poop won"
"rock","11222646","paper","11727360","Poop won"
"rock","10343271","paper","10892376","Poop won"
"rock","8548795","paper","10901444","Poop won"
"rock","8993975","paper","9692670","Poop won"
"rock","10277044","paper","11028683","Poop won"
"rock","9424277","paper","9437666","Poop won"
"rock","10714103","paper","10728383","Poop won"
"rock","13845722","paper","14576128","Poop won"
"rock","15779885","paper","16452029","Poop won"
"rock","7616121","paper","8286149","Poop won"
"rock","9161801","paper","10011334","Poop won"
"rock","15735319","paper","16416527","Poop won"
"rock","9489769","paper","10172485","Poop won"
"rock","8793966","paper","9488903","Poop won"
"rock","15567467","paper","16247573","Poop won"
"rock","9470483","paper","10146312","Poop won"
"rock","9259569","paper","9273183","Poop won"
"rock","7954699","paper","8630211","Poop won"
"rock","11764522","paper","13317071","Poop won"
"rock","9692460","paper","10430245","Poop won"
"rock","11799518","paper","12477189","Poop won"
"rock","15117329","paper","17138452","Poop won"
"rock","15116817","paper","15826458","Poop won"
"rock","12473472","paper","13156280","Poop won"
"rock","9696932","paper","9710645","Poop won"
"rock","12436872","paper","13246490","Poop won"
"rock","12154773","paper","12815718","Poop won"
"rock","8122434","paper","8793317","Poop won"
"rock","9300713","paper","9979560","Poop won"
"rock","12714029","paper","12108360","Poop won"
"rock","9501533","paper","10176372","Poop won"
"rock","11793581","paper","12495741","Poop won"
"rock","13281773","paper","13955979","Poop won"
"rock","7359373","paper","8057040","Poop won"
"rock","8215129","paper","9061161","Poop won"
"rock","14226375","paper","14910609","Poop won"
"rock","8056549","paper","8841044","Poop won"
"rock","9107084","paper","9831904","Poop won"
"rock","10530503","paper","15536094","Poop won"
"rock","10362158","paper","10421962","Poop won"
"rock","11700104","paper","12400883","Poop won"
"rock","11004856","paper","11683628","Poop won"
"rock","7552875","paper","8229737","Poop won"
"rock","9566280","paper","10202133","Poop won"
"rock","11740486","paper","12291438","Poop won"
"rock","9298295","paper","9790932","Poop won"
"rock","12230869","paper","12772221","Poop won"
"rock","10166105","paper","10179280","Poop won"
"rock","8028885","paper","8517354","Poop won"
"rock","7134230","paper","7742827","Poop won"
"rock","9486664","paper","10019747","Poop won"
"rock","11447004","paper","11984232","Poop won"
"rock","9659017","paper","9672129","Poop won"
"rock","12449079","paper","12982900","Poop won"
"rock","10614460","paper","11104117","Poop won"
"rock","9712039","paper","10308179","Poop won"
"rock","11604071","paper","12119440","Poop won"
"rock","13176849","paper","13669673","Poop won"
"rock","12275602","paper","12764224","Poop won"
"rock","13511222","paper","14039088","Poop won"
"rock","10241343","paper","10752136","Poop won"
"rock","11051477","paper","11536955","Poop won"
"rock","9769589","paper","10293610","Poop won"
"rock","9412074","paper","10104972","Poop won"
"rock","11112838","paper","11598040","Poop won"
"rock","9582934","paper","10105995","Poop won"
"rock","12949631","paper","13434077","Poop won"
"rock","9259000","paper","9720194","Poop won"
"rock","13094112","paper","13574868","Poop won"
"rock","11387094","paper","11863280","Poop won"
"rock","9257298","paper","9719208","Poop won"
"rock","10386403","paper","12283382","Poop won"
"rock","10287988","paper","10840140","Poop won"
"rock","10677039","paper","11138861","Poop won"
"rock","8342407","paper","8817774","Poop won"
"rock","9365927","paper","9378982","Poop won"
"rock","9093346","paper","9582215","Poop won"
"rock","11249518","paper","11719019","Poop won"
"rock","9577382","paper","10114675","Poop won"
"rock","9586599","paper","9599705","Poop won"
"rock","7394699","paper","8811378","Poop won"
"rock","8325303","paper","8853895","Poop won"
"rock","11291590","paper","11808819","Poop won"
"rock","8945904","paper","9425936","Poop won"
"rock","16593300","paper","17111391","Poop won"
"rock","12053277","paper","12542265","Poop won"
"rock","9060030","paper","9073128","Poop won"
