"pinky","hummingbird","Clients TIE!"
"1","3","996"
"scissors","13982080","paper","3376989","pinky won"
"paper","15243732","scissors","1917182","hummingbird won"
"paper","22241199","scissors","5496427","hummingbird won"
"scissors","8978847","scissors","3199486","Tie"
"scissors","20239813","scissors","3351072","Tie"
"scissors","14618982","scissors","2490915","Tie"
"scissors","8088537","scissors","8074493","Tie"
"scissors","16339319","scissors","450131","Tie"
"scissors","14313831","scissors","3127381","Tie"
"scissors","11777305","scissors","3369337","Tie"
"scissors","14197030","scissors","1745530","Tie"
"scissors","11063011","scissors","4709274","Tie"
"scissors","10279139","scissors","1596032","Tie"
"scissors","15078327","scissors","3507942","Tie"
"scissors","11683791","scissors","1710787","Tie"
"scissors","12419894","scissors","3254955","Tie"
"scissors","15151859","scissors","2051659","Tie"
"scissors","12199605","scissors","1964367","Tie"
"scissors","11364200","scissors","2956553","Tie"
"scissors","15550637","scissors","3306905","Tie"
"scissors","9183762","scissors","1733035","Tie"
"scissors","9607126","scissors","4139998","Tie"
"scissors","11167617","scissors","5246868","Tie"
"scissors","13459893","scissors","1573094","Tie"
"scissors","9742535","scissors","4961017","Tie"
"scissors","8396381","scissors","4317589","Tie"
"scissors","14727116","scissors","14712918","Tie"
"scissors","8345105","scissors","4011741","Tie"
"scissors","9069242","scissors","5289829","Tie"
"scissors","10005170","scissors","1655130","Tie"
"scissors","9897474","scissors","4847350","Tie"
"scissors","8429969","scissors","4107883","Tie"
"scissors","9939854","scissors","2061344","Tie"
"scissors","9676685","scissors","2227499","Tie"
"scissors","9429249","scissors","1807264","Tie"
"scissors","9163056","scissors","1519484","Tie"
"scissors","9448151","scissors","5204886","Tie"
"scissors","9289099","scissors","4855442","Tie"
"scissors","9050202","scissors","4729226","Tie"
"scissors","11436408","scissors","4910430","Tie"
"scissors","15345385","scissors","3111944","Tie"
"scissors","7948563","scissors","1857942","Tie"
"scissors","7087922","scissors","2678867","Tie"
"scissors","9062120","scissors","5204930","Tie"
"scissors","9533460","scissors","5248034","Tie"
"scissors","9202278","scissors","4922558","Tie"
"scissors","8513362","scissors","5066208","Tie"
"scissors","11148199","scissors","1567927","Tie"
"scissors","12344340","scissors","1568330","Tie"
"scissors","7838802","scissors","4458122","Tie"
"scissors","9729227","scissors","5277604","Tie"
"scissors","7793966","scissors","4633296","Tie"
"scissors","10235701","scissors","1962503","Tie"
