"palindrome_pelican","hummingbird","Clients TIE!"
"1","0","999"
"scissors","2264018","paper","2245982","palindrome_pelican won"
"paper","2369637","paper","2358172","Tie"
"paper","1610801","paper","1599323","Tie"
"paper","1536937","paper","1525465","Tie"
"paper","1715091","paper","1703450","Tie"
"paper","1692170","paper","1680354","Tie"
"paper","2881994","paper","2856914","Tie"
"paper","1626094","paper","1613403","Tie"
"paper","1670977","paper","1658731","Tie"
"paper","1796571","paper","1783406","Tie"
"paper","1357221","paper","1344803","Tie"
"paper","2745845","paper","2720136","Tie"
"paper","1655514","paper","1642725","Tie"
"paper","1475290","paper","1462391","Tie"
"paper","1554175","paper","1528555","Tie"
"paper","1621060","paper","1608697","Tie"
"paper","2884396","paper","2872028","Tie"
"paper","2079954","paper","2067608","Tie"
"paper","3085815","paper","3073259","Tie"
"paper","407849","paper","599266","Tie"
"paper","3539165","paper","3526720","Tie"
"paper","322080","paper","584763","Tie"
"paper","416067","paper","609902","Tie"
"paper","2478207","paper","2465700","Tie"
"paper","1693888","paper","1680785","Tie"
"paper","322227","paper","509589","Tie"
"paper","2900603","paper","2888180","Tie"
"paper","219138","paper","395436","Tie"
"paper","228688","paper","401154","Tie"
"paper","327894","paper","511912","Tie"
"paper","213774","paper","434175","Tie"
"paper","228465","paper","404895","Tie"
"paper","221267","paper","398796","Tie"
"paper","198909","paper","367093","Tie"
"paper","312577","paper","499643","Tie"
"paper","236676","paper","413478","Tie"
"paper","260203","paper","438615","Tie"
"paper","222484","paper","395848","Tie"
"paper","333484","paper","518704","Tie"
"paper","261556","paper","444681","Tie"
"paper","245030","paper","422666","Tie"
"paper","246593","paper","425091","Tie"
"paper","230953","paper","409184","Tie"
"paper","304180","paper","490571","Tie"
"paper","215989","paper","387905","Tie"
"paper","236871","paper","411810","Tie"
"paper","236412","paper","413919","Tie"
"paper","206460","paper","380168","Tie"
"paper","248994","paper","429153","Tie"
"paper","282283","paper","468642","Tie"
"paper","209617","paper","385385","Tie"
"paper","263823","paper","446303","Tie"
"paper","220577","paper","395953","Tie"
"paper","314483","paper","503251","Tie"
"paper","234340","paper","412016","Tie"
"paper","198006","paper","367793","Tie"
"paper","243945","paper","423253","Tie"
"paper","230683","paper","409107","Tie"
"paper","409687","paper","616093","Tie"
"paper","408174","paper","605840","Tie"
"paper","420852","paper","617511","Tie"
"paper","210333","paper","385298","Tie"
"paper","928874","paper","1272681","Tie"
"paper","359803","paper","551985","Tie"
"paper","206805","paper","378057","Tie"
"paper","235535","paper","412149","Tie"
"paper","236324","paper","414764","Tie"
"paper","224068","paper","399651","Tie"
"paper","289169","paper","470842","Tie"
"paper","324708","paper","683183","Tie"
"paper","247620","paper","443879","Tie"
"paper","362747","paper","555209","Tie"
"paper","346511","paper","531179","Tie"
"paper","240269","paper","416209","Tie"
"paper","222814","paper","399509","Tie"
"paper","200204","paper","371886","Tie"
"paper","3469616","paper","3457879","Tie"
"paper","1894429","paper","1883008","Tie"
"paper","1713047","paper","1701349","Tie"
"paper","228377","paper","697163","Tie"
"paper","212882","paper","382872","Tie"
"paper","220719","paper","393692","Tie"
"paper","214134","paper","397600","Tie"
"paper","238793","paper","411988","Tie"
"paper","212690","paper","383882","Tie"
"paper","203653","paper","366689","Tie"
"paper","274392","paper","452654","Tie"
"paper","240124","paper","414996","Tie"
"paper","191284","paper","354185","Tie"
"paper","305015","paper","485189","Tie"
"paper","251521","paper","426653","Tie"
"paper","188029","paper","349671","Tie"
"paper","211282","paper","379240","Tie"
"paper","185018","paper","371897","Tie"
"paper","231649","paper","404286","Tie"
"paper","246071","paper","422164","Tie"
"paper","241208","paper","437897","Tie"
"paper","231498","paper","404723","Tie"
"paper","305360","paper","487887","Tie"
"paper","208468","paper","407847","Tie"
"paper","236008","paper","410201","Tie"
"paper","213647","paper","385918","Tie"
"paper","188872","paper","353071","Tie"
"paper","229726","paper","404302","Tie"
"paper","195400","paper","462747","Tie"
"paper","451891","paper","673501","Tie"
"paper","226088","paper","400287","Tie"
"paper","273333","paper","449928","Tie"
"paper","263967","paper","447388","Tie"
"paper","225570","paper","396220","Tie"
"paper","188761","paper","354225","Tie"
"paper","210957","paper","406138","Tie"
"paper","228979","paper","402446","Tie"
"paper","201734","paper","371038","Tie"
"paper","221564","paper","391699","Tie"
"paper","270817","paper","449911","Tie"
"paper","220025","paper","911186","Tie"
"paper","361833","paper","551169","Tie"
"paper","206953","paper","490839","Tie"
"paper","221828","paper","394517","Tie"
"paper","215770","paper","384762","Tie"
"paper","200512","paper","369244","Tie"
"paper","227219","paper","399840","Tie"
"paper","384556","paper","576417","Tie"
"paper","211724","paper","380030","Tie"
"paper","312025","paper","492964","Tie"
"paper","295850","paper","474762","Tie"
"paper","205242","paper","375401","Tie"
"paper","301436","paper","483790","Tie"
"paper","215019","paper","386250","Tie"
"paper","191381","paper","353524","Tie"
"paper","230150","paper","411785","Tie"
"paper","228090","paper","395610","Tie"
"paper","227830","paper","397177","Tie"
"paper","271675","paper","448827","Tie"
"paper","300497","paper","480693","Tie"
"paper","234288","paper","404598","Tie"
"paper","222810","paper","395149","Tie"
"paper","190526","paper","357827","Tie"
"paper","211813","paper","378604","Tie"
"paper","211231","paper","380123","Tie"
"paper","229926","paper","398412","Tie"
"paper","248397","paper","420398","Tie"
"paper","187640","paper","373932","Tie"
"paper","317738","paper","498193","Tie"
"paper","355116","paper","542668","Tie"
"paper","205108","paper","369562","Tie"
"paper","245210","paper","417543","Tie"
"paper","211480","paper","381296","Tie"
"paper","320481","paper","499225","Tie"
"paper","286313","paper","471959","Tie"
"paper","6266234","paper","6586027","Tie"
"paper","398513","paper","586785","Tie"
"paper","328255","paper","507968","Tie"
"paper","236745","paper","410525","Tie"
"paper","221808","paper","408800","Tie"
"paper","192229","paper","355874","Tie"
"paper","207922","paper","374112","Tie"
"paper","220545","paper","389375","Tie"
"paper","204587","paper","371373","Tie"
"paper","321872","paper","501387","Tie"
"paper","220635","paper","390948","Tie"
"paper","280003","paper","459401","Tie"
"paper","266403","paper","443461","Tie"
"paper","221048","paper","491960","Tie"
"paper","208172","paper","378908","Tie"
"paper","211789","paper","376768","Tie"
"paper","185830","paper","345919","Tie"
"paper","238456","paper","408572","Tie"
"paper","224190","paper","394451","Tie"
"paper","184389","paper","347267","Tie"
"paper","219813","paper","388152","Tie"
"paper","323154","paper","507482","Tie"
"paper","209850","paper","374851","Tie"
"paper","225465","paper","396021","Tie"
"paper","305906","paper","479917","Tie"
"paper","190101","paper","354447","Tie"
"paper","208099","paper","375904","Tie"
"paper","229485","paper","401278","Tie"
"paper","223126","paper","395603","Tie"
"paper","282910","paper","463163","Tie"
"paper","293996","paper","475223","Tie"
"paper","278783","paper","456599","Tie"
"paper","224173","paper","394265","Tie"
"paper","217777","paper","389029","Tie"
"paper","218128","paper","388129","Tie"
"paper","214095","paper","381907","Tie"
"paper","199745","paper","409872","Tie"
"paper","259846","paper","430311","Tie"
"paper","188015","paper","353594","Tie"
"paper","292658","paper","504358","Tie"
"paper","250281","paper","420927","Tie"
"paper","275417","paper","461966","Tie"
"paper","228821","paper","426568","Tie"
"paper","214738","paper","385072","Tie"
"paper","187473","paper","351487","Tie"
"paper","256272","paper","441513","Tie"
"paper","227834","paper","400389","Tie"
"paper","405262","paper","600888","Tie"
"paper","404862","paper","594834","Tie"
"paper","305273","paper","488941","Tie"
"paper","224150","paper","395087","Tie"
"paper","274203","paper","452038","Tie"
"paper","191093","paper","357479","Tie"
"paper","215580","paper","413851","Tie"
"paper","221684","paper","391213","Tie"
"paper","209427","paper","400267","Tie"
"paper","274791","paper","456651","Tie"
"paper","214502","paper","383480","Tie"
"paper","270255","paper","447335","Tie"
"paper","230430","paper","402528","Tie"
"paper","278756","paper","455492","Tie"
"paper","194212","paper","363620","Tie"
"paper","215737","paper","385744","Tie"
"paper","208470","paper","379967","Tie"
"paper","227768","paper","404468","Tie"
"paper","227846","paper","418023","Tie"
"paper","192629","paper","356045","Tie"
"paper","289621","paper","500654","Tie"
"paper","223022","paper","393452","Tie"
"paper","201572","paper","369357","Tie"
"paper","403866","paper","600101","Tie"
"paper","327879","paper","513873","Tie"
"paper","196061","paper","363742","Tie"
"paper","237130","paper","468832","Tie"
"paper","299064","paper","474632","Tie"
"paper","195754","paper","360704","Tie"
"paper","235070","paper","414370","Tie"
"paper","270428","paper","453220","Tie"
"paper","221256","paper","394516","Tie"
"paper","378400","paper","586393","Tie"
"paper","203656","paper","369216","Tie"
"paper","217476","paper","390061","Tie"
"paper","231708","paper","407077","Tie"
"paper","213709","paper","381323","Tie"
"paper","223240","paper","392426","Tie"
"paper","344546","paper","529634","Tie"
"paper","292778","paper","473008","Tie"
"paper","220009","paper","389599","Tie"
"paper","263422","paper","437383","Tie"
"paper","248394","paper","424690","Tie"
"paper","249788","paper","424717","Tie"
"paper","211548","paper","380137","Tie"
"paper","230476","paper","403689","Tie"
"paper","1062758","paper","1369887","Tie"
"paper","252050","paper","756535","Tie"
"paper","201829","paper","368576","Tie"
"paper","618523","paper","1142086","Tie"
"paper","316007","paper","498757","Tie"
"paper","398683","paper","735191","Tie"
"paper","1952584","paper","1931328","Tie"
"paper","250837","paper","425241","Tie"
"paper","215170","paper","378924","Tie"
"paper","185475","paper","338687","Tie"
"paper","300398","paper","474668","Tie"
"paper","219937","paper","412012","Tie"
"paper","230000","paper","400189","Tie"
"paper","232992","paper","400808","Tie"
"paper","260793","paper","434705","Tie"
"paper","204752","paper","373754","Tie"
"paper","220038","paper","389201","Tie"
"paper","199256","paper","360788","Tie"
